Title,Price,Brand,Size,Link,Likes,Dataid,MarketStatus,SearchDate,Images,SearchCount,Page,Upload_date
t-shirt aderente gucci vintage Yk2,59.5,Gucci,XS / IT 38 / EU 34,https://www.vinted.it/items/6922344523-t-shirt-aderente-gucci-vintage-yk2?referrer=catalog,12,6922344523,On Sale,,https://images1.vinted.net/t/04_026f8_ZpFpww8GTfmBRsMskeg25ooC/310x430/1755940493.jpeg?s=c3bd10b480ee4439c681d65f5f18a2e05557c08a,1,1,
Top Gucci,11.2,Gucci,Taglia unica,https://www.vinted.it/items/6922284799-top-gucci?referrer=catalog,1,6922284799,On Sale,,https://images1.vinted.net/t/04_00427_8VUNBibkFENmFdvYYrYMZhwj/310x430/1755940713.jpeg?s=f896c53ca4ce4feaad4ba1d200f48353d25d7407,1,1,
Fendi shirt | crème | lange mouwen | logo geborduurd op borst | maat S,37.45,Fendi,S / IT 40 / EU 36,https://www.vinted.it/items/6873706113-fendi-shirt-creme-lange-mouwen-logo-geborduurd-op-borst-maat-s?referrer=catalog,0,6873706113,On Sale,,https://images1.vinted.net/t/02_0243c_VNqRHubo4qoW7w7NZqrXsvhn/310x430/1755265832.jpeg?s=9caf96ef294d759096007e20f0bbd260bdf19cc8,1,1,
Top  polo senza maniche cotone 100% Fendi,31.15,Fendi,XS / IT 38 / EU 34,https://www.vinted.it/items/6922193940-top-polo-senza-maniche-cotone-100-fendi?referrer=catalog,7,6922193940,On Sale,,https://images1.vinted.net/t/02_02249_kFDLCmbUBq5BfPmmAigtunMw/310x430/1755939261.jpeg?s=e49d4e3bb29f564b96cbbb556db16496de3f1ad3,1,1,
Camicia floreale Gucci 100%cotone,104.65,Gucci,XS / IT 38 / EU 34,https://www.vinted.it/items/6922193842-camicia-floreale-gucci-100cotone?referrer=catalog,5,6922193842,On Sale,,https://images1.vinted.net/t/02_01942_gz9y4TpaBZk6f2r6Dhry4UCZ/310x430/1755939260.jpeg?s=a55f7ad8112c3e6eeac9c2ca9844bcfd58de51f2,1,1,
Maglia Fendi,21.7,Fendi,L / IT 44 / EU 40,https://www.vinted.it/items/6922130650-maglia-fendi?referrer=catalog,2,6922130650,On Sale,,https://images1.vinted.net/t/01_00fec_A4FW5KaAmpKE33icd8J4Cx22/310x430/1755938710.jpeg?s=070fcb1c5bb6cef5bc1cb3c35a6f97df37086ff3,1,1,
T-shirt Gucci bleu taille M  Motif cœur,294.7,Gucci,M / IT 42 / EU 38,https://www.vinted.it/items/6921521003-t-shirt-gucci-bleu-taille-m-motif-coeur?referrer=catalog,3,6921521003,On Sale,,https://images1.vinted.net/t/02_019ef_c6DPQ4ax6nqDPe5oT8XdtQxP/310x430/1755930330.jpeg?s=95dc590cfb7f39a8b1b679b814ef7bcc4f50028b,1,1,
T shirt,37.45,Gucci,XS / IT 38 / EU 34,https://www.vinted.it/items/6920768928-t-shirt?referrer=catalog,14,6920768928,On Sale,,https://images1.vinted.net/t/04_00d29_bdvYttrmCziiLtk7KJJDMPLn/310x430/1755892766.jpeg?s=184c3da4d5c3d7a1c304ab90f35bfd4467158c0e,1,1,
Blusa Miu Miu tg. S,263.2,Miu Miu,S / IT 40 / EU 36,https://www.vinted.it/items/6920579247-blusa-miu-miu-tg-s?referrer=catalog,3,6920579247,On Sale,,https://images1.vinted.net/t/02_017ad_HHEpcUw1J4vJkYiQhY7zDRDQ/310x430/1755890502.jpeg?s=2f79100a3af7e25b16b7a1acf85f319160446cf4,1,1,
Gucci Tom Ford S/S 2002 Shirt,436.45,Gucci,S / IT 40 / EU 36,https://www.vinted.it/items/6920222186-gucci-tom-ford-ss-2002-shirt?referrer=catalog,89,6920222186,On Sale,,https://images1.vinted.net/t/03_00652_DBZ8eMwgr7R7snG6UbeWSx66/310x430/1755886741.jpeg?s=2d38805857736b5d4e359951d3e580c64b643efa,1,1,
