Title,Price,Brand,Size,Link,Likes,Dataid,MarketStatus,SearchDate,Images,SearchCount,Page,Upload_date
Chemise rayée colorée,2.8,R,L / IT 44 / EU 40,https://www.vinted.it/items/6880614626-chemise-rayee-coloree?referrer=catalog,0,6880614626,On Sale,,https://images1.vinted.net/t/01_00151_AJUTP5bmkzZ7ZbYqARvWWQDg/310x430/1755366626.webp?s=0ccd3df6ca9501926919b010fdc44dc810be8f41,1,1,
Neckholder Tops,16.45,Mango,S / IT 40 / EU 36,https://www.vinted.it/items/6880614661-neckholder-tops?referrer=catalog,0,6880614661,On Sale,,https://images1.vinted.net/t/04_01f8d_gXWWjnPi2kHPHNrDHT4py4zr/310x430/1755366626.webp?s=a813943fd8fadd3c949c8212f7fc8b234628b9a5,1,1,
Pull femme,3.85,Atelier Lekki,S / IT 40 / EU 36,https://www.vinted.it/items/6880614735-pull-femme?referrer=catalog,0,6880614735,On Sale,,https://images1.vinted.net/t/02_00345_AS6V42d2QMe6sqNKgktMHg5F/310x430/1755366627.webp?s=b2e81a49ba2da369e26eed9dcae7e4aee0961f28,1,1,
Top scollato viola,3.33,Pull & Bear,S / IT 40 / EU 36,https://www.vinted.it/items/6880614561-top-scollato-viola?referrer=catalog,0,6880614561,On Sale,,https://images1.vinted.net/t/03_02200_93XKBfBywiKXMHw1hHcMJDBR/310x430/1755366625.webp?s=8e98b007319ec2aa074488001800f4a1b26e3193,1,1,
Polo donna manica lunga | TG M | Mara Carol | curvy,10.15,Mara Carol,M / IT 42 / EU 38,https://www.vinted.it/items/6880614552-polo-donna-manica-lunga-tg-m-mara-carol-curvy?referrer=catalog,0,6880614552,On Sale,,https://images1.vinted.net/t/01_00beb_fxkAtwnQQueCdkUAopuuwzsF/310x430/1755366625.webp?s=2e1a30e1d092e136382cda97721d89b854c81f7f,1,1,
body marron matière skims,4.9,Organic Basics,XS / IT 38 / EU 34,https://www.vinted.it/items/6880614172-body-marron-matiere-skims?referrer=catalog,0,6880614172,On Sale,,https://images1.vinted.net/t/02_00491_UGe9MP4CtSxguLGmD7NGGb4G/310x430/1755366621.webp?s=b3ae2089c7c7c718034f87c36794294272d6a7c8,1,1,
Costes blousje,11.2,Costes,M / IT 42 / EU 38,https://www.vinted.it/items/6880614215-costes-blousje?referrer=catalog,0,6880614215,On Sale,,https://images1.vinted.net/t/04_02461_8dzViMpn3P2YDuviiRgiPR4b/310x430/1755366621.webp?s=cad0636fb3ffe5c51a8222c7146680c041881980,1,1,
Naketano Gr L,9.1,Naketano,L / IT 44 / EU 40,https://www.vinted.it/items/6880614461-naketano-gr-l-langarmshirt?referrer=catalog,0,6880614461,On Sale,,https://images1.vinted.net/t/01_0227f_fjqVidRHubMSpX9Qk6JVHFc7/310x430/1755366624.webp?s=3d25525521af24293b27aaa0f8469ae3046d71a2,1,1,
Magnifique chemise fluide fleurie,11.2,Jus d'Orange,M / IT 42 / EU 38,https://www.vinted.it/items/6880614268-magnifique-chemise-fluide-fleurie?referrer=catalog,1,6880614268,On Sale,,https://images1.vinted.net/t/03_00692_Dw9PjMw7AcDGVh5GWY6SNHMt/310x430/1755366622.webp?s=e02564a891fbc1674ed714eda7da0d54de260f0e,1,1,
Top curto,5.43,New Yorker,XS / IT 38 / EU 34,https://www.vinted.it/items/6880614484-top-curto?referrer=catalog,0,6880614484,On Sale,,https://images1.vinted.net/t/04_0093c_ynW2XyHRLcvGpAgXd55Eujpf/310x430/1755366624.webp?s=ed847d1b9e6f0deb3842158a6e992a11c981e87e,1,1,
