Title,Price,Brand,Size,Link,Likes,Dataid,MarketStatus,SearchDate,Upload_date,Images,SearchCount,Page
Pantalone tuta Gucci,74.2,Gucci,L / IT 44 / EU 40,https://www.vinted.it/items/8274396517-pantalone-tuta-gucci?referrer=catalog,2,8274396517,Sold,28/02/2026 08:21:47,,https://images1.vinted.net/t/06_00128_qm8ksCxytcZNqSFz3tpmTrfb/310x430/1772212845.webp?s=2d23957392f6f88c4ab5604b22563b341d8f83ee,8,1
Occhielli molto molto belli usati pochissimo,58.45,Gucci,0,https://www.vinted.it/items/8276756684-occhielli-molto-molto-belli-usati-pochissimo?referrer=catalog,0,8276756684,Sold,28/02/2026 08:21:47,,https://images1.vinted.net/t/06_019e7_A1KvFCLd6nYheg6rLnE5wGrB/310x430/1772262340.webp?s=845cc56dd80b0690f6e1df60eeab18669d595fbd,8,1
Gucci Lace-Up Corset Shirt - Tom Ford Era,105.7,Gucci,M / IT 42 / EU 38,https://www.vinted.it/items/8275107009-gucci-lace-up-corset-shirt-tom-ford-era?referrer=catalog,0,8275107009,Sold,28/02/2026 04:41:39,,https://images1.vinted.net/t/01_00f03_3953KQjuQm9VStaWnhkqg65v/310x430/1772218666.webp?s=7e9699fdf4cdb0c70cbf7433550bc6489b824cc0,5,1
Tutina GUCCI,32.2,Gucci,1-3 mesi / 56 cm,https://www.vinted.it/items/8276342287-tutina-gucci?referrer=catalog,5,8276342287,Sold,28/02/2026 00:56:32,,https://images1.vinted.net/t/06_00519_e677pL6XRT1w5ZyKPXCYzjma/310x430/1772232709.webp?s=15e683e8731731e75c8be439f7fb2d7152e11d62,2,1
Gucci Guilty,63.7,Gucci,0,https://www.vinted.it/items/8284359042-gucci-guilty?referrer=catalog,1,8284359042,Sold,28/02/2026 23:00:57,,https://images1.vinted.net/t/06_00de6_DHYniYNEgwvit4tGa3ZJnt9a/310x430/1772315486.webp?s=bb90f9527c9ca001cd2b16767e5a4d5b6cf01fa7,3,1
maillot Maroc Gucci,5.95,No brand,S,https://www.vinted.it/items/8284338221-maillot-maroc-gucci?referrer=catalog,3,8284338221,Sold,28/02/2026 23:00:57,,https://images1.vinted.net/t/01_007bf_WdQTbhwFA8V6UfM3cyaHAquj/310x430/1772315199.webp?s=10638d0dac95d115b28c50e30ef4c7d62d887c0a,3,1
Rouge de beauté brillant GUCCI,16.45,Gucci,0,https://www.vinted.it/items/8284221182-rouge-de-beaute-brillant-gucci?referrer=catalog,1,8284221182,Sold,28/02/2026 23:00:57,,https://images1.vinted.net/t/05_002d2_cdowQqUGh5qSRNDFWjMsVH2F/310x430/1772313723.webp?s=009762d3b2bfb422af743a8ca4d6cd11b8673af3,3,1
Poudre matte GUCCI 14,21.7,Gucci,0,https://www.vinted.it/items/8284209224-poudre-matte-gucci-14?referrer=catalog,3,8284209224,Sold,28/02/2026 23:00:57,,https://images1.vinted.net/t/05_002b8_DjMNyfijk2zc5sZYx7AM4Bdp/310x430/1772313580.webp?s=7b2f2683dac9874140d491d8b76ade1e6dfb6f60,3,1
Brume de Beauté GUCCI,21.7,Gucci,0,https://www.vinted.it/items/8284238010-brume-de-beaute-gucci?referrer=catalog,1,8284238010,Sold,28/02/2026 23:00:57,,https://images1.vinted.net/t/01_004aa_q48m4rMvh34UmPeprncXycNC/310x430/1772313921.webp?s=b1b5c8e8adeef68fc0aabc6a6365cbfc26197947,3,1
Pantofole Gucci,95.2,Gucci,37,https://www.vinted.it/items/8284597237-pantofole-gucci?referrer=catalog,4,8284597237,Sold,01/03/2026 00:23:06,,https://images1.vinted.net/t/05_02147_EPZEEZhcx51LoFw3sG1LJvF5/310x430/1772319833.webp?s=2df7eb3eda5bbe330db0e79e3278b1f47d3edc14,4,1
Basket Gucci,158.2,Gucci,40,https://www.vinted.it/items/8284853826-basket-gucci?referrer=catalog,0,8284853826,Sold,01/03/2026 06:41:02,,https://images1.vinted.net/t/01_01814_CZwAb2oa52qeaMvdJxaaFkEP/310x430/1772343496.webp?s=5b7e04891ca55f4a1bfdd7300b652550624729c2,9,1
Veste GUCCI,735.7,Gucci,48,https://www.vinted.it/items/8285049066-veste-gucci?referrer=catalog,2,8285049066,Sold,01/03/2026 09:14:05,,https://images1.vinted.net/t/05_013b0_cDD66gzN2MMf5FWeNTKQ1fHi/310x430/1772350517.webp?s=24c955637f8a87a47fa49bf12858539a5c1608c3,11,1
Basket Gucci,158.2,Gucci,40,https://www.vinted.it/items/8284853826-basket-gucci?referrer=catalog,0,8284853826,Sold,01/03/2026 06:41:02,,https://images1.vinted.net/t/01_01814_CZwAb2oa52qeaMvdJxaaFkEP/310x430/1772343496.webp?s=5b7e04891ca55f4a1bfdd7300b652550624729c2,9,1
Veste GUCCI,735.7,Gucci,48,https://www.vinted.it/items/8285049066-veste-gucci?referrer=catalog,2,8285049066,Sold,01/03/2026 09:14:05,,https://images1.vinted.net/t/05_013b0_cDD66gzN2MMf5FWeNTKQ1fHi/310x430/1772350517.webp?s=24c955637f8a87a47fa49bf12858539a5c1608c3,11,1
Basket Gucci,158.2,Gucci,40,https://www.vinted.it/items/8284853826-basket-gucci?referrer=catalog,0,8284853826,Sold,01/03/2026 06:41:02,,https://images1.vinted.net/t/01_01814_CZwAb2oa52qeaMvdJxaaFkEP/310x430/1772343496.webp?s=5b7e04891ca55f4a1bfdd7300b652550624729c2,9,1
Veste GUCCI,735.7,Gucci,48,https://www.vinted.it/items/8285049066-veste-gucci?referrer=catalog,2,8285049066,Sold,01/03/2026 09:14:05,,https://images1.vinted.net/t/05_013b0_cDD66gzN2MMf5FWeNTKQ1fHi/310x430/1772350517.webp?s=24c955637f8a87a47fa49bf12858539a5c1608c3,11,1
Hemd van Gucci,37.45,Gucci,L,https://www.vinted.it/items/8286051394-hemd-van-gucci?referrer=catalog,0,8286051394,Sold,01/03/2026 11:04:32,,https://images1.vinted.net/t/05_00f48_u8rAKPZK2DGcLUVWXw2YdDnD/310x430/1772358925.webp?s=4af4f19b6bb158c9ddd40ebcf0841a0a1a8d172d,1,1
Gucci Aufsteller,37.45,Gucci,0,https://www.vinted.it/items/8285995486-gucci-aufsteller?referrer=catalog,2,8285995486,Sold,01/03/2026 11:04:32,,https://images1.vinted.net/t/05_010ac_xbEr6w2Vp23EJDsuSWy5JT4X/310x430/1772358619.webp?s=f068f62fd4fb61c4d413635432b89e6f5ecadaf0,1,1
Zonnebril Gucci,79.45,Gucci,0,https://www.vinted.it/items/8285924383-zonnebril-gucci?referrer=catalog,2,8285924383,Sold,01/03/2026 11:04:32,,https://images1.vinted.net/t/06_01142_1iFDDZ3fGFGycyQqf72QDqD2/310x430/1772358215.webp?s=736f4482a08c7fcc00789964879b22a8825ff0d4,1,1
Gucci Neceser Mquillajes Viaje,16.45,Gucci,0,https://www.vinted.it/items/8286768464-gucci-neceser-mquillajes-viaje?referrer=catalog,1,8286768464,Sold,01/03/2026 12:16:15,,https://images1.vinted.net/t/06_01122_VuYD3JXnAn5VhiahynBVPN3c/310x430/1772362491.webp?s=22e7a5876cf5086435e1203ac2cbf675feba473e,2,1
