Title,Price,Brand,Size,Link,Likes,Dataid,MarketStatus,SearchDate,Images,SearchCount,Page
Sandales airstep,31.15,A.S.98,40.0,https://www.vinted.it/items/6543325233-sandales-airstep?referrer=catalog,0,6543325233,Sold,19/06/2025 20:44:23,,2,3
Basket toile,2.8,No brand,41.0,https://www.vinted.it/items/6543415468-basket-toile?referrer=catalog,0,6543415468,Sold,,,3,1
Birkenstock,53.2,Birkenstock,39.0,https://www.vinted.it/items/6543379139-birkenstock?referrer=catalog,3,6543379139,Sold,19/06/2025 20:53:07,,3,2
Adidas gazelle,32.2,adidas,39.0,https://www.vinted.it/items/6543422826-adidas-gazelle?referrer=catalog,1,6543422826,Sold,,,4,3
Adidas Samba blanches T38 neuves boîte,47.94,adidas,38.0,https://www.vinted.it/items/6543420535-adidas-samba-blanches-t38-neuves-boite?referrer=catalog,3,6543420535,Sold,,,4,3
Sandalias talla 36 sin estrenar,5.95,Merkal,36.0,https://www.vinted.it/items/6543366743-sandalias-talla-36-sin-estrenar?referrer=catalog,0,6543366743,Sold,19/06/2025 20:44:23,,2,1
Sandales cloutées orange 38,7.0,sans marque,38.0,https://www.vinted.it/items/6543353973-sandales-cloutees-orange-38?referrer=catalog,0,6543353973,Sold,19/06/2025 20:53:07,,2,1
Halboffene Schuhe,5.95,Rohde,37.5,https://www.vinted.it/items/6543359990-halboffene-schuhe?referrer=catalog,1,6543359990,Sold,,,2,1
Sandales cloutées orange 38,7.0,sans marque,38.0,https://www.vinted.it/items/6543353973-sandales-cloutees-orange-38?referrer=catalog,0,6543353973,Sold,19/06/2025 20:53:07,,2,2
Bailarinas kennel & schmenger,16.45,Kennel & Schmenger,39.0,https://www.vinted.it/items/6543349687-bailarinas-kennel-schmenger?referrer=catalog,0,6543349687,Sold,19/06/2025 20:44:23,,2,2
Sandali platform in pelle bianchi,8.05,Luisa galdi,37.0,https://www.vinted.it/items/6543372586-sandali-platform-in-pelle-bianchi?referrer=catalog,0,6543372586,Sold,,,2,1
Chaussures d'été,5.95,C'M Paris,38.0,https://www.vinted.it/items/6543352056-chaussures-dete?referrer=catalog,0,6543352056,Sold,19/06/2025 20:58:23,,2,2
Nike Metcon 9,89.95,Nike,37.5,https://www.vinted.it/items/6515634183-nike-metcon-9?referrer=catalog,2,6515634183,Sold,,,2,2
Neuwertige Sandalen Gr. 38,21.7,Mustang,38.0,https://www.vinted.it/items/6543430110-neuwertige-sandalen-gr-38?referrer=catalog,1,6543430110,Sold,19/06/2025 20:58:23,,4,1
Mules Mostarda,3.85,Local,36.5,https://www.vinted.it/items/6543428584-mules-mostarda?referrer=catalog,0,6543428584,Sold,19/06/2025 20:58:23,,4,2
Adidas gazelle,32.2,adidas,39.0,https://www.vinted.it/items/6543422826-adidas-gazelle?referrer=catalog,1,6543422826,Sold,,,4,3
Adidas Samba blanches T38 neuves boîte,47.94,adidas,38.0,https://www.vinted.it/items/6543420535-adidas-samba-blanches-t38-neuves-boite?referrer=catalog,3,6543420535,Sold,,,4,3
Neuwertige Sandalen Gr. 38,21.7,Mustang,38.0,https://www.vinted.it/items/6543430110-neuwertige-sandalen-gr-38?referrer=catalog,1,6543430110,Sold,19/06/2025 20:58:23,,4,2
Sandali,5.95,Gianmarco puma,39.0,https://www.vinted.it/items/6543394165-sandali?referrer=catalog,0,6543394165,Sold,19/06/2025 21:04:56,,3,1
Sandali,5.95,Gianmarco puma,39.0,https://www.vinted.it/items/6543394165-sandali?referrer=catalog,0,6543394165,Sold,19/06/2025 21:04:56,,3,2
Neuwertige Sandalen Gr. 38,21.7,Mustang,38.0,https://www.vinted.it/items/6543430110-neuwertige-sandalen-gr-38?referrer=catalog,1,6543430110,Sold,19/06/2025 20:58:23,,4,1
Neuwertige Sandalen Gr. 38,21.7,Mustang,38.0,https://www.vinted.it/items/6543430110-neuwertige-sandalen-gr-38?referrer=catalog,1,6543430110,Sold,19/06/2025 20:58:23,,4,1
Chaussures compenser marron,5.95,Gémo,38.0,https://www.vinted.it/items/6543525719-chaussures-compenser-marron?referrer=catalog,0,6543525719,Sold,,,6,1
Sandales,4.38,No brand,35.0,https://www.vinted.it/items/6543517345-sandales?referrer=catalog,0,6543517345,Sold,,,6,1
Adidas Samba Talla 41 1/3,81.5,adidas,41.0,https://www.vinted.it/items/6543513857-adidas-samba-talla-41-13?referrer=catalog,0,6543513857,Sold,19/06/2025 21:28:47,,6,1
Leder Skandalen,11.2,ECCO,40.0,https://www.vinted.it/items/6543664697-leder-skandalen?referrer=catalog,0,6543664697,Sold,,,9,1
Sandalia negra Mango tachuela dorada talla 37,9.1,Mango,37.0,https://www.vinted.it/items/6543609238-sandalia-negra-mango-tachuela-dorada-talla-37?referrer=catalog,3,6543609238,Sold,19/06/2025 21:28:46,,8,1
Havaianas You St Tropez Mesh Preto 39-40,16.45,Havaianas,39.0,https://www.vinted.it/items/6543617943-havaianas-you-st-tropez-mesh-preto-39-40?referrer=catalog,0,6543617943,Sold,19/06/2025 21:44:35,,8,1
Zapatillas Samba,16.45,Samba,39.0,https://www.vinted.it/items/6543627188-zapatillas-samba?referrer=catalog,0,6543627188,Sold,19/06/2025 21:28:46,,8,1
Sandalias verano,9.1,Local Fanatic,39.0,https://www.vinted.it/items/6543610099-sandalias-verano?referrer=catalog,0,6543610099,Sold,19/06/2025 21:28:46,,8,1
Sandalia piel Massimo Dutti 38,14.35,Massimo Dutti,38.0,https://www.vinted.it/items/6543656484-sandalia-piel-massimo-dutti-38?referrer=catalog,0,6543656484,Sold,19/06/2025 21:44:35,,9,1
Cuñas de esparto DKNY,13.3,DKNY,38.0,https://www.vinted.it/items/6543654734-cunas-de-esparto-dkny?referrer=catalog,0,6543654734,Sold,,,9,1
Sandali Geox,5.95,Geox,37.0,https://www.vinted.it/items/6543653995-sandali-geox?referrer=catalog,0,6543653995,Sold,,,9,1
Sandalias piel,13.3,Local,38.0,https://www.vinted.it/items/6543648630-sandalias-piel?referrer=catalog,0,6543648630,Sold,19/06/2025 21:44:35,,9,1
Sandalias negras de Pull & Bear,7.0,Pull & Bear,38.0,https://www.vinted.it/items/6543644477-sandalias-negras-de-pull-bear?referrer=catalog,2,6543644477,Sold,19/06/2025 21:44:35,,9,2
Manoletinas Michael Kors,13.3,Michael Kors,38.0,https://www.vinted.it/items/6543643739-manoletinas-michael-kors?referrer=catalog,0,6543643739,Sold,19/06/2025 21:44:35,,9,2
Havaianas Slim Cristal Swarovski Rose 39-40,18.55,Havaianas,39.0,https://www.vinted.it/items/6543638621-havaianas-slim-cristal-swarovski-rose-39-40?referrer=catalog,2,6543638621,Sold,19/06/2025 21:44:35,,9,2
Chaussures bleue,16.45,Nero Giardini,38.0,https://www.vinted.it/items/6543606800-chaussures-bleue?referrer=catalog,1,6543606800,Sold,,,9,4
Zara sandals,21.7,Zara,38.0,https://www.vinted.it/items/6543604196-zara-sandals?referrer=catalog,0,6543604196,Sold,19/06/2025 21:44:35,,9,4
Birkenstock Boston mules,63.7,Birkenstock,37.0,https://www.vinted.it/items/6543596357-birkenstock-boston-mules?referrer=catalog,4,6543596357,Sold,19/06/2025 21:44:35,,9,4
Espadrilles von Tommy Hilfiger,21.7,Tommy Hilfiger,39.0,https://www.vinted.it/items/6481393858-espadrilles-von-tommy-hilfiger?referrer=catalog,0,6481393858,Sold,19/06/2025 21:44:35,,9,4
Espadrilles von Tommy Hilfiger,21.7,Tommy Hilfiger,39.0,https://www.vinted.it/items/6481393858-espadrilles-von-tommy-hilfiger?referrer=catalog,0,6481393858,Sold,19/06/2025 21:44:35,,9,5
Zapatillas Samba,16.45,Samba,39.0,https://www.vinted.it/items/6543627188-zapatillas-samba?referrer=catalog,0,6543627188,Sold,19/06/2025 21:28:46,,8,1
El Naturalista Sandalen Gr. 38,26.95,El Naturalista,38.0,https://www.vinted.it/items/6543621825-el-naturalista-sandalen-gr-38?referrer=catalog,0,6543621825,Sold,19/06/2025 21:53:23,,8,1
Havaianas You St Tropez Mesh Preto 39-40,16.45,Havaianas,39.0,https://www.vinted.it/items/6543617943-havaianas-you-st-tropez-mesh-preto-39-40?referrer=catalog,0,6543617943,Sold,19/06/2025 21:44:35,,8,1
Sandalias verano,9.1,Local Fanatic,39.0,https://www.vinted.it/items/6543610099-sandalias-verano?referrer=catalog,0,6543610099,Sold,19/06/2025 21:28:46,,8,1
Sandalia negra Mango tachuela dorada talla 37,9.1,Mango,37.0,https://www.vinted.it/items/6543609238-sandalia-negra-mango-tachuela-dorada-talla-37?referrer=catalog,3,6543609238,Sold,19/06/2025 21:28:46,,8,1
Sandalias verano,9.1,Local Fanatic,39.0,https://www.vinted.it/items/6543610099-sandalias-verano?referrer=catalog,0,6543610099,Sold,19/06/2025 21:28:46,,8,1
El Naturalista Sandalen Gr. 38,26.95,El Naturalista,38.0,https://www.vinted.it/items/6543621825-el-naturalista-sandalen-gr-38?referrer=catalog,0,6543621825,Sold,19/06/2025 21:53:23,,8,1
Havaianas You St Tropez Mesh Preto 39-40,16.45,Havaianas,39.0,https://www.vinted.it/items/6543617943-havaianas-you-st-tropez-mesh-preto-39-40?referrer=catalog,0,6543617943,Sold,19/06/2025 21:44:35,,8,1
Zapatillas Samba,16.45,Samba,39.0,https://www.vinted.it/items/6543627188-zapatillas-samba?referrer=catalog,0,6543627188,Sold,19/06/2025 21:28:46,,8,1
Leder Skandalen,11.2,ECCO,40.0,https://www.vinted.it/items/6543664697-leder-skandalen?referrer=catalog,0,6543664697,Sold,,,9,1
Sandalia piel Massimo Dutti 38,14.35,Massimo Dutti,38.0,https://www.vinted.it/items/6543656484-sandalia-piel-massimo-dutti-38?referrer=catalog,0,6543656484,Sold,19/06/2025 21:44:35,,9,1
Mocassins damart,3.85,Damart,38.5,https://www.vinted.it/items/6543655619-mocassins-damart?referrer=catalog,0,6543655619,Sold,19/06/2025 21:53:23,,9,1
Cuñas de esparto DKNY,13.3,DKNY,38.0,https://www.vinted.it/items/6543654734-cunas-de-esparto-dkny?referrer=catalog,0,6543654734,Sold,,,9,1
Sandali Geox,5.95,Geox,37.0,https://www.vinted.it/items/6543653995-sandali-geox?referrer=catalog,0,6543653995,Sold,,,9,1
Leder Skandalen,11.2,ECCO,40.0,https://www.vinted.it/items/6543664697-leder-skandalen?referrer=catalog,0,6543664697,Sold,,,9,1
Cuñas de esparto DKNY,13.3,DKNY,38.0,https://www.vinted.it/items/6543654734-cunas-de-esparto-dkny?referrer=catalog,0,6543654734,Sold,,,9,1
Sandali Geox,5.95,Geox,37.0,https://www.vinted.it/items/6543653995-sandali-geox?referrer=catalog,0,6543653995,Sold,,,9,1
Sandalia piel Massimo Dutti 38,14.35,Massimo Dutti,38.0,https://www.vinted.it/items/6543656484-sandalia-piel-massimo-dutti-38?referrer=catalog,0,6543656484,Sold,19/06/2025 21:44:35,,9,1
Mocassins damart,3.85,Damart,38.5,https://www.vinted.it/items/6543655619-mocassins-damart?referrer=catalog,0,6543655619,Sold,19/06/2025 21:53:23,,9,1
Sandalias piel,13.3,Local,38.0,https://www.vinted.it/items/6543648630-sandalias-piel?referrer=catalog,0,6543648630,Sold,19/06/2025 21:44:35,,9,1
Sandalias negras de Pull & Bear,7.0,Pull & Bear,38.0,https://www.vinted.it/items/6543644477-sandalias-negras-de-pull-bear?referrer=catalog,2,6543644477,Sold,19/06/2025 21:44:35,,9,2
Manoletinas Michael Kors,13.3,Michael Kors,38.0,https://www.vinted.it/items/6543643739-manoletinas-michael-kors?referrer=catalog,0,6543643739,Sold,19/06/2025 21:44:35,,9,2
Havaianas Slim Cristal Swarovski Rose 39-40,18.55,Havaianas,39.0,https://www.vinted.it/items/6543638621-havaianas-slim-cristal-swarovski-rose-39-40?referrer=catalog,2,6543638621,Sold,19/06/2025 21:44:35,,9,2
Mocassins damart,3.85,Damart,38.5,https://www.vinted.it/items/6543655619-mocassins-damart?referrer=catalog,0,6543655619,Sold,19/06/2025 21:53:23,,9,1
Sandalia piel Massimo Dutti 38,14.35,Massimo Dutti,38.0,https://www.vinted.it/items/6543656484-sandalia-piel-massimo-dutti-38?referrer=catalog,0,6543656484,Sold,19/06/2025 21:44:35,,9,1
Sandali Geox,5.95,Geox,37.0,https://www.vinted.it/items/6543653995-sandali-geox?referrer=catalog,0,6543653995,Sold,,,9,1
Cuñas de esparto DKNY,13.3,DKNY,38.0,https://www.vinted.it/items/6543654734-cunas-de-esparto-dkny?referrer=catalog,0,6543654734,Sold,,,9,1
Manoletinas Michael Kors,13.3,Michael Kors,38.0,https://www.vinted.it/items/6543643739-manoletinas-michael-kors?referrer=catalog,0,6543643739,Sold,19/06/2025 21:44:35,,9,2
Leder Skandalen,11.2,ECCO,40.0,https://www.vinted.it/items/6543664697-leder-skandalen?referrer=catalog,0,6543664697,Sold,,,9,1
Sandalias piel,13.3,Local,38.0,https://www.vinted.it/items/6543648630-sandalias-piel?referrer=catalog,0,6543648630,Sold,19/06/2025 21:44:35,,9,1
Sandalias negras de Pull & Bear,7.0,Pull & Bear,38.0,https://www.vinted.it/items/6543644477-sandalias-negras-de-pull-bear?referrer=catalog,2,6543644477,Sold,19/06/2025 21:44:35,,9,2
Havaianas Slim Cristal Swarovski Rose 39-40,18.55,Havaianas,39.0,https://www.vinted.it/items/6543638621-havaianas-slim-cristal-swarovski-rose-39-40?referrer=catalog,2,6543638621,Sold,19/06/2025 21:44:35,,9,2
Chaussures bleue,16.45,Nero Giardini,38.0,https://www.vinted.it/items/6543606800-chaussures-bleue?referrer=catalog,1,6543606800,Sold,,,9,4
Zara sandals,21.7,Zara,38.0,https://www.vinted.it/items/6543604196-zara-sandals?referrer=catalog,0,6543604196,Sold,19/06/2025 21:44:35,,9,4
Chanclas muy bonitas,7.0,Primark,40.0,https://www.vinted.it/items/6543604182-chanclas-muy-bonitas?referrer=catalog,0,6543604182,Sold,19/06/2025 21:53:23,,9,4
Espadrilles von Tommy Hilfiger,21.7,Tommy Hilfiger,39.0,https://www.vinted.it/items/6481393858-espadrilles-von-tommy-hilfiger?referrer=catalog,0,6481393858,Sold,19/06/2025 21:44:35,,9,4
Birkenstock Boston mules,63.7,Birkenstock,37.0,https://www.vinted.it/items/6543596357-birkenstock-boston-mules?referrer=catalog,4,6543596357,Sold,19/06/2025 21:44:35,,9,4
Sandalias hippies,4.9,CLOWSE,40.0,https://www.vinted.it/items/6543868664-sandalias-hippies?referrer=catalog,0,6543868664,Sold,,,4,1
Mocassino scamosciato,16.45,No brand,38.5,https://www.vinted.it/items/6543858315-mocassino-scamosciato?referrer=catalog,0,6543858315,Sold,,,4,2
Ciabatte,5.95,Primark,41.0,https://www.vinted.it/items/6543900206-ciabatte?referrer=catalog,1,6543900206,Sold,,,5,2
Sandales en cuir daim camel,53.2,Minelli,38.0,https://www.vinted.it/items/6543885533-sandales-en-cuir-daim-camel?referrer=catalog,3,6543885533,Sold,,,5,3
Mocassins damart,3.85,Damart,38.5,https://www.vinted.it/items/6543655619-mocassins-damart?referrer=catalog,0,6543655619,Sold,19/06/2025 21:53:23,,9,1
Cuñas de esparto DKNY,13.3,DKNY,38.0,https://www.vinted.it/items/6543654734-cunas-de-esparto-dkny?referrer=catalog,0,6543654734,Sold,,,9,1
Manoletinas Michael Kors,13.3,Michael Kors,38.0,https://www.vinted.it/items/6543643739-manoletinas-michael-kors?referrer=catalog,0,6543643739,Sold,19/06/2025 21:44:35,,9,2
Sandalias negras de Pull & Bear,7.0,Pull & Bear,38.0,https://www.vinted.it/items/6543644477-sandalias-negras-de-pull-bear?referrer=catalog,2,6543644477,Sold,19/06/2025 21:44:35,,9,2
Sandalia piel Massimo Dutti 38,14.35,Massimo Dutti,38.0,https://www.vinted.it/items/6543656484-sandalia-piel-massimo-dutti-38?referrer=catalog,0,6543656484,Sold,19/06/2025 21:44:35,,9,1
Sandalias piel,13.3,Local,38.0,https://www.vinted.it/items/6543648630-sandalias-piel?referrer=catalog,0,6543648630,Sold,19/06/2025 21:44:35,,9,1
Sandali Geox,5.95,Geox,37.0,https://www.vinted.it/items/6543653995-sandali-geox?referrer=catalog,0,6543653995,Sold,,,9,1
Leder Skandalen,11.2,ECCO,40.0,https://www.vinted.it/items/6543664697-leder-skandalen?referrer=catalog,0,6543664697,Sold,,,9,1
Chaussures bleue,16.45,Nero Giardini,38.0,https://www.vinted.it/items/6543606800-chaussures-bleue?referrer=catalog,1,6543606800,Sold,,,9,4
Havaianas Slim Cristal Swarovski Rose 39-40,18.55,Havaianas,39.0,https://www.vinted.it/items/6543638621-havaianas-slim-cristal-swarovski-rose-39-40?referrer=catalog,2,6543638621,Sold,19/06/2025 21:44:35,,9,2
Birkenstock Boston mules,63.7,Birkenstock,37.0,https://www.vinted.it/items/6543596357-birkenstock-boston-mules?referrer=catalog,4,6543596357,Sold,19/06/2025 21:44:35,,9,4
Zara sandals,21.7,Zara,38.0,https://www.vinted.it/items/6543604196-zara-sandals?referrer=catalog,0,6543604196,Sold,19/06/2025 21:44:35,,9,4
Espadrilles von Tommy Hilfiger,21.7,Tommy Hilfiger,39.0,https://www.vinted.it/items/6481393858-espadrilles-von-tommy-hilfiger?referrer=catalog,0,6481393858,Sold,19/06/2025 21:44:35,,9,4
Chanclas muy bonitas,7.0,Primark,40.0,https://www.vinted.it/items/6543604182-chanclas-muy-bonitas?referrer=catalog,0,6543604182,Sold,19/06/2025 21:53:23,,9,4
Sandali Geox,5.95,Geox,37.0,https://www.vinted.it/items/6543653995-sandali-geox?referrer=catalog,0,6543653995,Sold,,,9,1
Mocassins damart,3.85,Damart,38.5,https://www.vinted.it/items/6543655619-mocassins-damart?referrer=catalog,0,6543655619,Sold,19/06/2025 21:53:23,,9,1
Sandalia piel Massimo Dutti 38,14.35,Massimo Dutti,38.0,https://www.vinted.it/items/6543656484-sandalia-piel-massimo-dutti-38?referrer=catalog,0,6543656484,Sold,19/06/2025 21:44:35,,9,1
Cuñas de esparto DKNY,13.3,DKNY,38.0,https://www.vinted.it/items/6543654734-cunas-de-esparto-dkny?referrer=catalog,0,6543654734,Sold,,,9,1
Manoletinas Michael Kors,13.3,Michael Kors,38.0,https://www.vinted.it/items/6543643739-manoletinas-michael-kors?referrer=catalog,0,6543643739,Sold,19/06/2025 21:44:35,,9,2
Sandalias piel,13.3,Local,38.0,https://www.vinted.it/items/6543648630-sandalias-piel?referrer=catalog,0,6543648630,Sold,19/06/2025 21:44:35,,9,1
