Title,Price,Brand,Size,Link,Likes,Dataid,MarketStatus,SearchDate,Images,SearchCount,Page
vends sandales camel neuves t.39,26.95,LH by La Halle,39,https://www.vinted.it/items/6537926268-vends-sandales-camel-neuves-t39?referrer=catalog,0,6537926268,On Sale,,,1,10
Stöckelschuhe,37.45,Girotti,38,https://www.vinted.it/items/6537925929-stockelschuhe?referrer=catalog,0,6537925929,On Sale,,,1,10
sell  shoes,16.45,No brand,36,https://www.vinted.it/items/6537906421-sell-shoes?referrer=catalog,0,6537906421,On Sale,,,1,10
🌸 basket avec velcro légère Style baby P38,8.05,Fashion,38,https://www.vinted.it/items/6537925901-basket-avec-velcro-legere-style-baby-p38?referrer=catalog,2,6537925901,On Sale,,,1,10
Nike Air Force 1,34.31,Nike,40,https://www.vinted.it/items/6537921714-nike-air-force-1?referrer=catalog,1,6537921714,On Sale,,,1,10
Asics Gel-NYC Cream Pink,105.69,Asics,39,https://www.vinted.it/items/6537881219-asics-gel-nyc-cream-pink?referrer=catalog,2,6537881219,On Sale,,,1,10
Clogs von Antonio Gr 41 - Neu!,16.45,Antonio,41,https://www.vinted.it/items/6537925236-clogs-von-antonio-gr-41-neu?referrer=catalog,0,6537925236,On Sale,,,1,10
Chaussures haute,5.95,Ideal shoes,36,https://www.vinted.it/items/6537925093-chaussures-haute?referrer=catalog,1,6537925093,On Sale,,,1,10
Sandales noires rouge blanc kickers 41,79.45,Kickers,41,https://www.vinted.it/items/6537924995-sandales-noires-rouge-blanc-kickers-41?referrer=catalog,0,6537924995,On Sale,,,1,10
Bottine texto,53.2,Texto,38,https://www.vinted.it/items/6537924944-bottine-texto?referrer=catalog,0,6537924944,On Sale,,,1,10
Baskets Bull Boxer,21.7,Bullboxer,38,https://www.vinted.it/items/6537924809-baskets-bull-boxer?referrer=catalog,0,6537924809,On Sale,,,1,10
Gazelle,55.3,Gazelle,39.5,https://www.vinted.it/items/6537924604-gazelle?referrer=catalog,0,6537924604,On Sale,,,1,10
Infradito nr 39 pelle,16.45,Fiore,39,https://www.vinted.it/items/6537924723-infradito-nr-39-pelle?referrer=catalog,0,6537924723,On Sale,,,1,10
Zapatos de tacón,4.9,Marypaz,39,https://www.vinted.it/items/6537924626-zapatos-de-tacon?referrer=catalog,3,6537924626,On Sale,,,1,10
Zapatillas New Balance 530,58.45,New Balance,37.5,https://www.vinted.it/items/6537924480-zapatillas-new-balance-530?referrer=catalog,0,6537924480,On Sale,,,1,10
Sandálias rasas,13.3,Mango,35,https://www.vinted.it/items/6537923506-sandalias-rasas?referrer=catalog,0,6537923506,On Sale,,,1,10
Sandale noir et strass,8.05,No brand,37,https://www.vinted.it/items/6537923133-sandale-noir-et-strass?referrer=catalog,1,6537923133,On Sale,,,1,10
Birkenstock bege,79.45,Birkenstock,38,https://www.vinted.it/items/6537922818-birkenstock-bege?referrer=catalog,0,6537922818,On Sale,,,1,10
Sandales cuir Ombelle pointure 36 neuves,16.45,Ombelle,36,https://www.vinted.it/items/6537922746-sandales-cuir-ombelle-pointure-36-neuves?referrer=catalog,0,6537922746,Sold,,,1,10
Scarpe,11.2,No brand,38.5,https://www.vinted.it/items/6537922246-scarpe?referrer=catalog,0,6537922246,Sold,,,1,10
Converse Cosy - T36 - Parfaites,32.2,Converse,36,https://www.vinted.it/items/6537920889-converse-cosy-t36-parfaites?referrer=catalog,0,6537920889,Sold,,,1,10
Espadrilles,3.85,Espadrilles,37,https://www.vinted.it/items/6537921515-espadrilles?referrer=catalog,0,6537921515,Sold,,,1,10
Asics gel-nyc,84.6,Asics,38,https://www.vinted.it/items/6537921259-asics-gel-nyc?referrer=catalog,3,6537921259,Sold,,,1,10
Sandalen met hak,26.95,Stradivarius,36,https://www.vinted.it/items/6537920747-sandalen-met-hak?referrer=catalog,0,6537920747,Sold,,,1,10
Chanclas,9.1,Ipanema,41,https://www.vinted.it/items/6537920365-chanclas?referrer=catalog,1,6537920365,Sold,,,1,10
Chaussures nu pieds a talon neuf taille 39,13.3,Hong,39,https://www.vinted.it/items/6537920296-chaussures-nu-pieds-a-talon-neuf-taille-39?referrer=catalog,0,6537920296,Sold,,,1,10
Chaussures  doré 38 neuves,9.63,je sais pas,38,https://www.vinted.it/items/6537920407-chaussures-dore-38-neuves?referrer=catalog,1,6537920407,Sold,,,1,10
Zapatillas New Balance 530,58.45,New Balance,37,https://www.vinted.it/items/6537920314-zapatillas-new-balance-530?referrer=catalog,0,6537920314,Sold,,,1,10
Ballerine Camille Repetto,263.2,Repetto,41,https://www.vinted.it/items/6537920278-ballerine-camille-repetto?referrer=catalog,0,6537920278,Sold,,,1,10
Crocs pretas,37.45,Crocs,37,https://www.vinted.it/items/6537920146-crocs-pretas?referrer=catalog,2,6537920146,Sold,,,1,10
Sandali tacco basso Angel Alarcon,53.2,Angel Alarcon,38,https://www.vinted.it/items/6537919921-sandali-tacco-basso-angel-alarcon?referrer=catalog,0,6537919921,Sold,,,1,10
Nike - Air Jordan 1 Low (GS) - Etat Parfait - T 37.5,105.7,Jordan,37.5,https://www.vinted.it/items/6537919211-nike-air-jordan-1-low-gs-etat-parfait-t-375?referrer=catalog,0,6537919211,Sold,,,1,10
New balance 9060 marrón,89.95,New Balance,39.5,https://www.vinted.it/items/6537918979-new-balance-9060-marron?referrer=catalog,0,6537918979,Sold,,,1,10
Scarpe donna,5.95,Mai,41,https://www.vinted.it/items/6537918583-scarpe-donna?referrer=catalog,0,6537918583,Sold,,,1,10
Sandalias pala color beige marrón talla 40 nuevas,11.2,Zara,40,https://www.vinted.it/items/6537918625-sandalias-pala-color-beige-marron-talla-40-nuevas?referrer=catalog,5,6537918625,Sold,,,1,10
Go sexy zapatos,11.2,Go Sexy,36,https://www.vinted.it/items/6537918020-go-sexy-zapatos?referrer=catalog,0,6537918020,Sold,,,1,10
Sandali brillantinati stupendi,16.45,Sandali,37,https://www.vinted.it/items/6537917999-sandali-brillantinati-stupendi?referrer=catalog,0,6537917999,Sold,,,1,10
Chaussure a talon,63.7,Bons Baisers de Paname,40,https://www.vinted.it/items/6537917992-chaussure-a-talon?referrer=catalog,0,6537917992,Sold,,,1,10
Sandalo bianco,19.6,No brand,38,https://www.vinted.it/items/6537917822-sandalo-bianco?referrer=catalog,0,6537917822,Sold,,,1,10
Stivaletto,5.95,Comodo,39,https://www.vinted.it/items/6537917715-stivaletto?referrer=catalog,0,6537917715,Sold,,,1,10
Basket Nike D⇃unk L⇃ow,41.65,Nike,41,https://www.vinted.it/items/6537917488-basket-nike-dunk-low?referrer=catalog,0,6537917488,Sold,,,1,10
Botte Louis Vuitton (Desert boot Lauréate),1.071,Louis Vuitton,36,https://www.vinted.it/items/6535224692-botte-louis-vuitton-desert-boot-laureate?referrer=catalog,2,6535224692,Sold,,,1,10
Adidas samba,58.45,adidas,38,https://www.vinted.it/items/6537917034-adidas-samba?referrer=catalog,0,6537917034,Sold,,,1,10
Botas de boxeo,21.7,Decathlon,38,https://www.vinted.it/items/6537953085-botas-de-boxeo?referrer=catalog,1,6537953085,,18/06/2025 21:01:49,,1,9
Skechers wit maat 40 nieuw,32.2,Skechers,40,https://www.vinted.it/items/6537953070-skechers-wit-maat-40-nieuw?referrer=catalog,4,6537953070,,18/06/2025 21:01:49,,1,9
Nike Dunks low gr. 38,58.45,Nike,38,https://www.vinted.it/items/6537952648-nike-dunks-low-gr-38?referrer=catalog,1,6537952648,,18/06/2025 21:01:49,,1,9
Hakken maat 37,8.56,merkloos,37,https://www.vinted.it/items/6537952619-hakken-maat-37?referrer=catalog,5,6537952619,,18/06/2025 21:01:49,,1,9
Scarpe Hogan donna,263.2,Hogan,37,https://www.vinted.it/items/6537952166-scarpe-hogan-donna?referrer=catalog,0,6537952166,,18/06/2025 21:01:49,,1,9
Sandales Kanna Neuves,68.95,Kanna,40,https://www.vinted.it/items/6537951908-sandales-kanna-neuves?referrer=catalog,0,6537951908,,18/06/2025 21:01:49,,1,9
Sandalias de tacón,40.55,Gaimo,37,https://www.vinted.it/items/6537951986-sandalias-de-tacon?referrer=catalog,1,6537951986,,18/06/2025 21:01:49,,1,9
Geox espadrilles femme,21.7,Geox,40,https://www.vinted.it/items/6537951990-geox-espadrilles-femme?referrer=catalog,1,6537951990,,18/06/2025 21:01:49,,1,9
Ciabatte,38.5,non c’è,37,https://www.vinted.it/items/6537951965-ciabatte?referrer=catalog,0,6537951965,,18/06/2025 21:01:49,,1,9
Scarpe basse gomma ballerine,44.8,Borbonese,38,https://www.vinted.it/items/6537950558-scarpe-basse-gomma-ballerine?referrer=catalog,0,6537950558,,18/06/2025 21:01:49,,1,9
Sandales à talons,13.3,Chaussea,40,https://www.vinted.it/items/6537951533-sandales-a-talons?referrer=catalog,1,6537951533,,18/06/2025 21:01:49,,1,9
Derbies noires vernis,37.45,San Marina,40,https://www.vinted.it/items/6537951309-derbies-noires-vernis?referrer=catalog,0,6537951309,,18/06/2025 21:01:49,,1,9
Woman sandals available as seen very beautiful and good quality,32.2,Sandals,42,https://www.vinted.it/items/6537951351-woman-sandals-available-as-seen-very-beautiful-and-good-quality?referrer=catalog,0,6537951351,,18/06/2025 21:01:49,,1,9
ON Cloudsky maat 37.5! Nieuw!,79.45,On,37.5,https://www.vinted.it/items/6537951146-on-cloudsky-maat-375-nieuw?referrer=catalog,1,6537951146,,18/06/2025 21:01:49,,1,9
