Title,Price,Brand,Size,Link,Likes,Dataid,MarketStatus,SearchDate,Upload_date,Images,SearchCount,Page,SearchName
Sacchetto per occhiali Gucci,10.15,Gucci,0,https://www.vinted.it/items/8148579926-sacchetto-per-occhiali-gucci?referrer=catalog,0,8148579926,On Sale,,,https://images1.vinted.net/t/06_00432_QFV38xGMhofEmtsHns1C2h7c/310x430/1770757923.webp?s=fa5f7cc0f305197e1e2af491588d40ee359dfc9f,1,1,
Tote Bag Gucci Garden,83.65,Gucci,0,https://www.vinted.it/items/8148575280-tote-bag-gucci-garden?referrer=catalog,1,8148575280,On Sale,,,https://images1.vinted.net/t/04_00978_GFhbaqDHUFJwbPbKmCvieqHm/310x430/1770757877.webp?s=e918883f61955199d06e24b3fc509e36dbc82bd5,1,1,
Occhiali gucci donna,210.7,Gucci,0,https://www.vinted.it/items/8148573734-occhiali-gucci-donna?referrer=catalog,0,8148573734,On Sale,,,https://images1.vinted.net/t/05_012db_rd5VjJ72A93DJCRVAWMan5Ff/310x430/1770757861.webp?s=5cee3b268b56c10c158595f83a224eb51b0bf4dc,1,1,
Princetown Gucci,420.7,Gucci,37.5,https://www.vinted.it/items/8148572124-princetown-gucci?referrer=catalog,0,8148572124,On Sale,,,https://images1.vinted.net/t/05_021c2_XYPMfxuyKM4Gg8WY412bCMEY/310x430/1770757846.webp?s=4d2e88f9873621a5ee9bee6af906c0cc87fffbef,1,1,
Skin care,147.7,Gucci,0,https://www.vinted.it/items/8148560117-skin-care?referrer=catalog,0,8148560117,On Sale,,,https://images1.vinted.net/t/05_010ba_eoNtirpVvqZk7BaHgQyqSppA/310x430/1770757728.webp?s=94b0998773c73c259b65db94b00de46c7d2e2a4f,1,1,
Mocassino Gucci,420.7,Gucci,42,https://www.vinted.it/items/8148560170-mocassino-gucci?referrer=catalog,2,8148560170,On Sale,,,https://images1.vinted.net/t/06_001dd_4aQqJ1PXyxkryfUTBw3rHVub/310x430/1770757729.webp?s=981159d351dd0683894df29e8ef8ba04bcc9897b,1,1,
Crossbody bag Gucci,918.0,Gucci,0,https://www.vinted.it/items/8148550520-crossbody-bag-gucci?referrer=catalog,1,8148550520,On Sale,,,https://images1.vinted.net/t/06_0195d_BqUkHFKpWycSCgH28f2xeaFx/310x430/1770757635.webp?s=6077d563b896f4035b8d6b642d808ee6944e0eeb,1,1,
Custodia occhiali viola Gucci,21.7,Gucci,0,https://www.vinted.it/items/8148550504-custodia-occhiali-viola-gucci?referrer=catalog,0,8148550504,On Sale,,,https://images1.vinted.net/t/06_00678_uc7BZXwKJP5iGFBeNbfNbLRX/310x430/1770757635.webp?s=5572983600cec815e18e5d2d6b5e0621dc82b930,1,1,
Occhiali gucci,510.0,Gucci,0,https://www.vinted.it/items/8148533808-occhiali-gucci?referrer=catalog,1,8148533808,On Sale,,,https://images1.vinted.net/t/04_01f64_qNCFDCVnZwemwD9rqz9nr5we/310x430/1770757475.webp?s=98e55e25c22179249d90e528caefcbb44f77c03f,1,1,
Catenella Gucci per occhiali,42.7,Gucci,0,https://www.vinted.it/items/8148527498-catenella-gucci-per-occhiali?referrer=catalog,3,8148527498,On Sale,,,https://images1.vinted.net/t/05_01a94_ysiuBvwHE2iLciAUnc9iwwwS/310x430/1770757413.webp?s=b3cca50f0887081a8bb31462a0fe7281831c3823,1,1,
Gucci Kartenetui Canvas Geldbörse GG Supreme grau Portemonnaie,210.7,Gucci,0,https://www.vinted.it/items/8148521351-gucci-kartenetui-canvas-geldborse-gg-supreme-grau-portemonnaie?referrer=catalog,0,8148521351,On Sale,,,https://images1.vinted.net/t/05_0081a_THD7kg2UK5HdYrMx6F65SqZj/310x430/1770757356.webp?s=9c8df2432f46db87a4af3285b8b190e7187bb25f,1,1,
Gucci Tote Bag Shopping Cabas Dustbag,33.78,Gucci,0,https://www.vinted.it/items/8148519314-gucci-tote-bag-shopping-cabas-dustbag?referrer=catalog,0,8148519314,On Sale,,,https://images1.vinted.net/t/05_01183_XpZhD5TsFzW3FFva5dXYjWbu/310x430/1770757337.webp?s=61e8535fb13462726c6f22f222e24d2cee225909,1,1,
Gucci specchietto da borsetta in metallo,31.15,Gucci,0,https://www.vinted.it/items/8148516233-gucci-specchietto-da-borsetta-in-metallo?referrer=catalog,0,8148516233,On Sale,,,https://images1.vinted.net/t/06_01b1d_PUspnu71wCZQ2FNyio7gzyNY/310x430/1770757309.webp?s=6000df3aa418d0f87751a504e9d77738363feadd,1,1,
Gucci Schuhe,561.0,Gucci,42,https://www.vinted.it/items/8148511931-gucci-schuhe?referrer=catalog,0,8148511931,On Sale,,,https://images1.vinted.net/t/06_02327_4k1ankN4fD7ihuNeGkT5EpKV/310x430/1770757270.webp?s=5fdcd0a98b792d0772189ad46db5904d6473a68d,1,1,
Pochette Gucci,504.7,Gucci,0,https://www.vinted.it/items/8138053109-pochette-gucci?referrer=catalog,1,8138053109,On Sale,,,https://images1.vinted.net/t/05_01e7c_taAgBeEFbYLH9Fp7g3kyJPU1/310x430/1770647049.webp?s=a1ae47845d0678aa4f972f7c587fe755c3f7767c,1,1,
Portacarte Gucci senza scatola,315.7,Gucci,0,https://www.vinted.it/items/8148501225-portacarte-gucci-senza-scatola?referrer=catalog,0,8148501225,On Sale,,,https://images1.vinted.net/t/05_00bf8_bdRUPJX4wzdkKCmACFupeumf/310x430/1770757171.webp?s=3cc09072bdd49ed4ebd3ba97761b2878aa0fef3f,1,1,
Gucci boutique,167.65,Gucci,M,https://www.vinted.it/items/8148499605-gucci-boutique?referrer=catalog,3,8148499605,On Sale,,,https://images1.vinted.net/t/06_01c38_hdWdwMB2uZa9oeG3mi1Zo7rp/310x430/1770757156.webp?s=969b9976cb2f458d25c99976b3ea7de7f6b3c35f,1,1,
Gucci Stiefel braun Leder mit Pferdegebiss,473.2,Gucci,40,https://www.vinted.it/items/8148488929-gucci-stiefel-braun-leder-mit-pferdegebiss?referrer=catalog,1,8148488929,On Sale,,,https://images1.vinted.net/t/06_01bc2_zwMWLWVaoLxbgJxtXM3FYdDF/310x430/1770757058.webp?s=0d2fcd572a19d195cfac606a020325bc4b3c7fe9,1,1,
Tuta Gucci X north face,163.45,Gucci,L,https://www.vinted.it/items/8138000194-tuta-gucci-x-north-face?referrer=catalog,0,8138000194,On Sale,,,https://images1.vinted.net/t/05_0168e_E26DvGCpzjUviJomypTHnWSE/310x430/1770646709.webp?s=d204cf649eacad1e1c2f715f5ed5289556ef8455,1,1,
Gucci guilty,41.13,Gucci,0,https://www.vinted.it/items/8148472731-gucci-guilty?referrer=catalog,0,8148472731,On Sale,,,https://images1.vinted.net/t/03_00843_PQr5UT5EQU1U7DNt1vdRoJ63/310x430/1770756914.webp?s=c80f0094f4c877d0eb9499e8c1b7bb4f0574bc78,1,1,
Casquette Gucci Rose Gold,612.0,Gucci,S,https://www.vinted.it/items/8148471275-casquette-gucci-rose-gold?referrer=catalog,1,8148471275,On Sale,,,https://images1.vinted.net/t/01_00dad_qiESswJGf9RhavdcZC4AB5i7/310x430/1770756901.webp?s=4cd9922f8529ad748e62b14364acf3bd5fc24f3d,1,1,
Rossetto Gucci Goldie Red,30.1,Gucci,0,https://www.vinted.it/items/8148468293-rossetto-gucci-goldie-red?referrer=catalog,0,8148468293,On Sale,,,https://images1.vinted.net/t/01_01588_UxKYrCZ5mArsBQTdaUv3Bca9/310x430/1770756875.webp?s=1cc135d33272bda444d8ef2f68bb87535aeb95ae,1,1,
