Title,Price,Brand,Size,Link,Likes,Dataid,MarketStatus,SearchDate,Images,SearchCount,Page
Parfum homme 50ml 9,0.0,ONLY,0,https://www.vinted.it/items/6511799171-parfum-homme-50ml-999eu?referrer=catalog,0,6511799171,On Sale,03/07/2025 11:03:44,https://images1.vinted.net/t/03_021c3_brTBejKvL6EievtV8m9rD651/310x430/1749900375.jpeg?s=b778c12fdcaa3901c8c0b29d3dd5233dc3ab0110,1,1
Azzaro The most wanted,13.2,Azzaro,0,https://www.vinted.it/items/6510566302-azzaro-the-most-wanted?referrer=catalog,9,6510566302,On Sale,03/07/2025 11:03:44,https://images1.vinted.net/t/03_01f4e_m8HQq8oFSbSKwx59fRRgcoVw/310x430/1749887222.jpeg?s=714f1d3f9f849d8506d1f704f858c89c73eb34d6,1,1
Azzaro The Most Wanted,55.3,Azzaro,0,https://www.vinted.it/items/6508381142-azzaro-the-most-wanted?referrer=catalog,3,6508381142,On Sale,03/07/2025 11:03:44,https://images1.vinted.net/t/04_013ad_QBoWQamNbNdUk1V5S91gZprd/310x430/1749829309.jpeg?s=e271b19486d17faece3dbe59bd948609ee031be1,1,1
Azzaro the most wanted edp 100ml remplie,95.2,Azzaro,0,https://www.vinted.it/items/6506661020-azzaro-the-most-wanted-edp-100ml-remplie?referrer=catalog,1,6506661020,On Sale,03/07/2025 11:03:44,https://images1.vinted.net/t/03_0099d_RAdATzXt3wZyboKZXmK4FJk8/310x430/1749810265.jpeg?s=59c0d67af6b53a2e668dcecc28c016c03fc2154e,1,1
Azzaro the most wanted eau de parfum intense,89.95,Azzaro,0,https://www.vinted.it/items/6504235388-azzaro-the-most-wanted-eau-de-parfum-intense?referrer=catalog,2,6504235388,On Sale,03/07/2025 11:03:44,https://images1.vinted.net/t/02_01286_9WmPyQtR4zAE5CFmECscfwxQ/310x430/1749751440.jpeg?s=9705ce629be6ab770cfaadb672593de929da5c5a,1,1
Azzaro The Most Wanted,53.2,Azzaro,0,https://www.vinted.it/items/6498262641-azzaro-the-most-wanted?referrer=catalog,2,6498262641,On Sale,03/07/2025 11:03:44,https://images1.vinted.net/t/04_00d56_fWz1m3cJK78VsZLks71TNTXY/310x430/1749659568.jpeg?s=6cb7beb31eadf3880413f831ff43ab8c5b742043,1,1
Azzaro the most wanted parfum,47.95,Azzaro,0,https://www.vinted.it/items/6495322775-azzaro-the-most-wanted-parfum?referrer=catalog,8,6495322775,On Sale,03/07/2025 11:03:44,https://images1.vinted.net/t/02_00e4f_Kdm287oTDD9xyt8mDNZYtiQW/310x430/1749632188.jpeg?s=e0c89251ae0f321d25f89e6404b19bdeb40404f1,1,1
The most Wanted Azzaro,72.1,Azzaro,0,https://www.vinted.it/items/6492110838-the-most-wanted-azzaro?referrer=catalog,1,6492110838,On Sale,03/07/2025 11:03:44,https://images1.vinted.net/t/02_0080d_3Vf5Dv9fEiuqAuTG4GxqkTQP/310x430/1749569940.jpeg?s=7ed11dd109116a33fdc292eaee80ee9ec393d9e0,1,1
Azzaro The Most Wanted - PARFUM - 100 ml,89.95,Azzaro,0,https://www.vinted.it/items/6481662840-azzaro-the-most-wanted-parfum-100-ml?referrer=catalog,1,6481662840,On Sale,03/07/2025 11:03:44,https://images1.vinted.net/t/02_010db_KZUqSoFYzqvetheVnCMNSek2/310x430/1749424524.jpeg?s=e91f3f5882a8c2f0e0b8001433f558b12353c7e0,1,1
Azzaro the most wanted eau de parfum 50ml,53.2,Azzaro,0,https://www.vinted.it/items/6469338051-azzaro-the-most-wanted-eau-de-parfum-50ml?referrer=catalog,17,6469338051,On Sale,03/07/2025 11:03:44,https://images1.vinted.net/t/03_00be8_KSQ5LsARBSeeRHDMW6ogYQkS/310x430/1749292755.jpeg?s=b60b1f7da0ff02771169b3e364994a8bbe216f2f,1,1
