ProductId,n,VariantsFound,VariantSilhouette
3718,4,1,
3722,4,1,
3739,5,1,
3744,4,1,
3753,8,2,1.0
3756,4,1,
3766,5,1,
3777,7,2,0.9999997019767761
3781,10,3,0.8999999761581421
3783,6,3,0.6666666865348816
3786,5,1,
3787,6,1,
3788,5,2,0.9999998807907104
3794,5,2,0.800000011920929
3795,4,2,0.7499997615814209
3796,6,2,1.0
3797,4,2,0.75
3799,12,3,0.7855269908905029
3800,4,1,
3801,5,1,
3804,4,1,
3810,4,1,
3811,4,1,
3812,5,1,
3813,4,1,
3818,4,1,
3819,4,1,
3820,4,1,
3821,4,1,
3824,4,1,
3830,5,1,
3834,5,1,
3835,5,1,
3840,9,3,0.8888888359069824
3844,17,2,0.7125997543334961
3845,16,1,
3851,5,1,
3862,4,1,
3868,4,1,
3877,4,1,
3878,25,3,0.9999998211860657
3884,5,1,
3885,5,1,
3886,4,1,
3891,5,1,
3892,4,1,
3894,4,1,
3895,4,1,
3898,5,1,
3899,5,1,
3900,5,1,
3908,4,1,
3914,6,1,
3916,16,6,0.9999996423721313
3917,4,1,
3918,6,2,1.0
3920,11,5,0.8181818127632141
3923,4,1,
3924,4,1,
3928,4,1,
3946,5,4,0.12998679280281067
3947,5,1,
3949,5,1,
3956,4,1,
3959,10,1,
3961,4,1,
3969,17,5,0.8854680061340332
3976,4,1,
3977,5,1,
3982,4,1,
3983,4,1,
3984,8,2,0.9993383884429932
3987,4,1,
3988,4,1,
3992,17,1,
4001,22,8,0.53690105676651
4006,5,1,
4009,4,1,
4011,10,1,
4014,14,1,
4016,57,2,0.7579076290130615
4017,4,4,
4022,4,2,0.5410283803939819
4030,5,1,
4036,9,4,0.49236902594566345
4037,9,4,0.5617135167121887
4039,5,1,
4040,30,12,0.5298854112625122
4042,8,1,
4056,5,3,0.6000000238418579
4068,4,1,
4070,4,1,
4074,4,1,
4075,6,2,0.9171586036682129
4076,12,3,0.6179394721984863
4085,6,4,0.5
4092,7,1,
4096,5,1,
4099,4,1,
4100,4,1,
4108,7,1,
4110,4,1,
4111,4,1,
4112,4,1,
4119,4,1,
4121,4,1,
4131,5,1,
4135,5,1,
4136,4,1,
4137,4,1,
4148,4,1,
4152,4,1,
4153,4,1,
4156,4,3,0.35225892066955566
4157,6,2,0.8864348530769348
4158,6,2,0.8149271011352539
4160,4,1,
4165,4,1,
4167,4,1,
4169,5,1,
4174,5,1,
4181,5,1,
4185,5,1,
4186,4,1,
4190,7,2,0.9999997019767761
4200,5,1,
4201,5,1,
4205,5,1,
4209,9,1,
4213,5,1,
4224,4,1,
4226,4,1,
4227,4,1,
4235,8,2,0.9999997019767761
