ProductId,n,VariantsFound,VariantSilhouette
1650,4,1,
1652,5,1,
1654,304,51,0.7565210461616516
1656,9,3,0.8888888955116272
1659,28,5,0.7100422978401184
1660,12,3,1.0
1661,11,3,0.9983091354370117
1662,8,2,0.8736456036567688
1665,10,3,0.9999998807907104
1666,22,4,0.9577760696411133
1667,16,4,0.9999997019767761
1668,5,2,0.9798606634140015
1670,5,1,
1671,4,1,
1672,6,1,
1674,5,1,
1678,5,2,0.9362349510192871
1679,11,1,
1680,6,2,0.9999997019767761
1681,5,1,
1684,4,1,
1687,8,1,
1689,5,1,
1690,13,2,0.948451042175293
1694,8,2,0.8170312643051147
1700,4,2,0.9999996423721313
1701,7,2,0.999999463558197
1703,6,2,0.9893138408660889
1707,4,1,
1713,8,2,0.9654785990715027
1716,27,6,0.7983148097991943
1718,6,2,0.9999997019767761
1724,7,2,0.8778355717658997
1725,5,1,
1730,6,2,0.8333333134651184
1733,5,1,
1735,48,5,0.8102323412895203
1736,4,1,
1738,5,1,
1739,5,1,
1747,8,1,
1752,6,2,0.8176236152648926
1758,5,1,
1759,5,1,
1765,17,2,0.8529093861579895
1766,5,1,
1769,6,3,0.7545299530029297
1770,278,48,0.6632484197616577
1771,4,2,0.75
1774,12,5,0.5817998051643372
1775,9,3,0.9077021479606628
1778,6,1,
1779,9,1,
1787,5,1,
1789,6,1,
1792,9,2,0.8643563389778137
1795,4,2,0.75
1798,5,1,
1804,4,2,0.75
1806,70,9,0.8334280252456665
1808,16,6,0.7529648542404175
1818,4,1,
1820,5,1,
1824,5,1,
1825,5,1,
1826,5,1,
1832,5,1,
1835,17,4,0.9150187373161316
1849,4,3,0.5
1850,4,1,
1861,4,1,
1865,5,1,
1869,9,3,0.7693885564804077
1881,9,4,0.8185674548149109
1884,15,4,0.8942064046859741
1885,5,1,
1886,5,1,
1887,44,13,0.8390200138092041
1889,9,3,0.9803044199943542
1903,5,1,
1909,5,1,
1910,5,1,
1912,7,2,0.9999998211860657
1915,19,5,0.9209349751472473
1918,4,1,
1919,10,1,
1920,8,2,1.0
1922,8,4,0.8043129444122314
1923,13,4,0.812124490737915
1924,23,2,0.8251966238021851
1925,4,1,
1926,4,1,
1927,5,1,
1929,5,1,
1933,13,4,0.925543487071991
1934,8,2,0.9999996423721313
1935,5,1,
1936,5,2,0.800000011920929
1938,48,8,0.6351885199546814
1941,9,2,0.8888885974884033
1944,4,1,
1945,4,1,
1954,5,1,
1957,4,1,
1959,5,1,
1960,4,2,0.75
1961,4,1,
1964,9,3,0.8065775632858276
1965,15,4,0.6853762865066528
1972,8,2,0.9805539846420288
1973,20,4,0.7920610904693604
1976,29,3,0.6475217938423157
1977,6,1,
1979,8,2,0.9999997019767761
1981,4,2,0.75
1982,4,2,0.5856636762619019
1983,12,4,0.6273298859596252
1984,22,3,0.8267069458961487
1985,6,2,0.8333333134651184
1989,4,1,
1990,4,1,
1992,6,2,1.0
1993,4,1,
1995,7,5,0.4285711944103241
1996,21,5,0.804792046546936
1997,4,2,0.75
1998,5,1,
2003,4,1,
2004,19,5,0.711168110370636
2007,14,3,0.7918105721473694
2008,7,1,
2011,8,2,0.9999998807907104
2014,6,1,
2022,5,1,
2024,16,4,0.797791600227356
2025,9,2,0.7675551772117615
2026,5,2,0.800000011920929
2033,4,1,
2034,5,1,
2039,4,1,
2041,21,7,0.7844396233558655
2042,5,1,
2046,4,1,
2049,9,3,0.8887868523597717
2050,7,1,
2051,5,1,
2053,4,1,
2055,5,1,
2059,30,7,0.8837090730667114
2060,4,1,
2061,4,1,
2063,5,1,
2064,5,1,
2065,5,1,
2067,4,1,
2068,6,1,
2070,12,3,0.7387101650238037
2072,14,1,
2075,5,1,
2080,9,3,0.8407312035560608
2084,4,1,
2086,4,1,
2088,5,1,
2090,6,2,0.7317562103271484
2091,4,1,
2093,8,2,1.0
2095,33,1,
2097,55,5,0.8323675394058228
2103,15,2,0.9339364171028137
2105,5,1,
2106,12,6,0.5145886540412903
2109,9,2,0.9908027648925781
2110,5,1,
2115,5,4,0.4000000059604645
2117,8,1,
2119,4,1,
2123,11,6,0.590901792049408
2128,4,1,
2130,6,1,
2132,4,1,
2135,26,5,0.7828896045684814
2136,7,2,0.9999997019767761
2138,4,2,0.75
2139,8,3,0.735242486000061
2140,6,2,0.9999997019767761
2149,7,2,0.909856379032135
2150,9,3,0.9768857955932617
2153,8,4,0.6808732151985168
2158,37,5,0.7764653563499451
2159,10,4,0.899999737739563
2160,22,5,0.7506479620933533
2162,12,6,1.0
2165,7,2,1.0
2167,6,2,1.0
2168,5,1,
2171,5,1,
2173,15,5,0.5664451122283936
2175,5,1,
2176,6,1,
2180,9,2,0.9999997615814209
2182,12,4,0.9166663289070129
2184,5,1,
2185,6,2,0.8333333134651184
2190,4,1,
2193,5,1,
2194,4,1,
2195,5,1,
2203,12,4,0.8234876990318298
2204,4,1,
2206,4,1,
2207,4,1,
2208,4,1,
2209,9,3,0.9993021488189697
2211,5,1,
2212,5,1,
2219,4,1,
2220,18,4,0.8211009502410889
2221,7,1,
2222,18,3,0.8313148617744446
2224,8,2,1.0
2225,10,3,0.8415353894233704
2226,12,3,0.9142823219299316
2227,9,3,0.6819954514503479
2228,11,3,0.8131580352783203
2234,5,1,
2235,4,1,
2236,38,7,0.535207986831665
2237,7,3,0.8073240518569946
2238,17,3,0.8375760316848755
2242,5,1,
2244,4,1,
2245,5,1,
2248,6,2,0.9999995231628418
2249,5,1,
2250,4,1,
2252,4,1,
2253,4,1,
2254,4,1,
2256,4,1,
2257,4,1,
2260,5,1,
2263,4,1,
2266,10,2,0.9657758474349976
2268,11,1,
2270,5,3,0.7999993562698364
2271,11,3,0.8225331902503967
2272,4,2,0.75
2275,7,2,1.0
2278,26,5,0.8926894664764404
2279,13,4,0.7473731637001038
2289,9,2,0.9774519801139832
2290,5,1,
2291,13,2,0.5026940107345581
2293,4,1,
2295,6,2,0.8167014122009277
2296,4,1,
2297,6,2,0.9999997019767761
2301,5,1,
2302,4,1,
2304,9,3,0.8888886570930481
2309,10,2,0.9667884707450867
2311,6,1,
2312,11,2,0.9909566640853882
2313,8,2,0.9907148480415344
2315,4,1,
2319,4,1,
2321,4,1,
2324,6,2,0.9999995231628418
2325,5,1,
2326,8,2,0.9770148396492004
2327,5,1,
2330,4,2,0.75
2333,5,1,
2336,4,1,
2338,6,3,0.8333330750465393
2341,6,2,0.9680870175361633
2342,4,2,0.7499995827674866
2346,4,1,
2348,10,1,
2349,5,2,0.800000011920929
2352,7,2,0.8571428656578064
2353,9,3,0.859360933303833
2357,5,1,
2359,5,1,
2360,5,1,
2361,5,1,
2362,4,1,
2363,5,1,
2370,5,1,
2373,4,1,
2379,5,1,
2381,5,1,
2384,13,3,0.9189817905426025
2386,4,1,
2389,5,1,
2399,24,7,0.8742355704307556
2401,6,1,
2402,9,1,
2405,4,2,0.5291826725006104
2407,26,2,0.9358362555503845
2412,4,1,
2413,4,1,
2418,4,1,
2419,5,1,
2427,4,1,
2428,4,1,
2429,8,4,0.7499998211860657
2430,4,1,
2432,16,6,0.812499463558197
2435,7,1,
2438,8,1,
2452,5,1,
2454,4,1,
2455,13,2,0.8808233737945557
2457,5,1,
