Title,Price,Brand,Size,Link,Likes,Dataid,MarketStatus,SearchDate,Images,SearchCount,Page,Interested_count,View_count,Description,Condition,Upload_date,SellerId,SellerName,Stars,Location,ReviewsCount
À vendre basket Marque CETTi  blanche en cuir,53.2,Cetti,37.0,https://www.vinted.it/items/6527518821-a-vendre-basket-marque-cetti-blanche-en-cuir?referrer=catalog,0,6527518821,On Sale,16/06/2025 22:16:20,[],1,1,,,,Nuovo senza cartellino,Proprio adesso,,nancycorrales,4.8,,87
schwarze Espadrilles von H&M,7.0,H&M,40.0,https://www.vinted.it/items/6527518202-schwarze-espadrilles-von-hm?referrer=catalog,0,6527518202,On Sale,16/06/2025 22:16:20,[],1,1,,,,Nuovo senza cartellino,Proprio adesso,,dina1997muc,5.0,,3
Adidas Samba,52.15,adidas,40.0,https://www.vinted.it/items/6527544401-adidas-samba?referrer=catalog,0,6527544401,On Sale,16/06/2025 22:20:59,[],1,1,,,"Revends mes samba achète en mai 2025, sont un peu petite pour moi T40 UK:6,5 Portées 3 fois acheté chez courir",Nuovo senza cartellino,Proprio adesso,,loupia17,4.9,,83
"Nike Air Force ""107",26.95,Nike Air,43.0,https://www.vinted.it/items/6527544837-nike-air-force-107?referrer=catalog,0,6527544837,On Sale,16/06/2025 22:20:59,[],1,1,,,úplne nové 100%,Nuovo senza cartellino,Proprio adesso,,herringgriffinss8360,-1.0,,0
Sandales à talons,4.9,Bershka,36.0,https://www.vinted.it/items/6527544766-sandales-a-talons?referrer=catalog,0,6527544766,On Sale,16/06/2025 22:20:59,[],1,1,,,Sandales à talons jaune moutarde Avec frange sur le dessus et accroche à la cheville Marque bershka Taille 36 Neuve sans étiquette,Nuovo senza cartellino,Proprio adesso,,titifafany,4.6,,235
Jordan 1 Low x Dior,200.2,Jordan,38.0,https://www.vinted.it/items/6514930085-jordan-1-low-x-dior?referrer=catalog,0,6514930085,On Sale,16/06/2025 22:21:00,[],1,1,,,Nuevas!!! Talla 38 No dudes en escribirme si tienes dudas,Nuovo senza cartellino,Proprio adesso,,carolinag799,4.7,,16
Converse Chuck Taylor All Star Ox-grau,42.7,Converse,38.0,https://www.vinted.it/items/6527544286-converse-chuck-taylor-all-star-ox-grau?referrer=catalog,0,6527544286,On Sale,16/06/2025 22:21:00,[],1,1,,,"Hallo, ich verkaufe neue und ungetragene original Chucks in Größe 38 und der Farbe grau. Sehr schöne und bequeme Sneaker, sehr pflegeleicht und waschbar. Ich kann Sie aufgrund einer Fuß Verschlechterung in dieser Größe leider nicht mehr tragen. Bei Interesse bzw. weiteren Fragen gerne per PN :) Beim Kauf von 2 Paaren gebe ich gerne noch einen Nachlass.",Nuovo senza cartellino,Proprio adesso,,monsch90,-1.0,,0
Basket Gant taille 44,84.7,GANT,44.0,https://www.vinted.it/items/6527545004-basket-gant-taille-44?referrer=catalog,0,6527545004,On Sale,16/06/2025 22:21:00,[],1,1,,,Très joli basket homme très peu porté comme neuve,Nuovo senza cartellino,Proprio adesso,,lyly2804,4.9,,400
Zapatillas salomon s/lab ultra glide,200.2,Salomon,46.0,https://www.vinted.it/items/6532636945-zapatillas-salomon-slab-ultra-glide?referrer=catalog,0,6532636945,On Sale,17/06/2025 21:00:14,[],1,1,,,"Se venden zapatillas s/lab ultra glide de talla 46, solo tienen una salida de 15km. Las vendo por error de talla",Nuovo senza cartellino,8 min fa,1,ioar1,-1.0,,0
Angulus Sandalen,21.7,Angulus,36.0,https://www.vinted.it/items/6532636424-angulus-sandalen?referrer=catalog,0,6532636424,On Sale,17/06/2025 21:00:15,[],1,1,,,-Neu und ungetragen,Nuovo senza cartellino,8 min fa,2,bues1996,5.0,,666
Escarpins Dahpop Jonak neufs,147.7,Jonak,37.0,https://www.vinted.it/items/6532636437-escarpins-dahpop-jonak-neufs?referrer=catalog,0,6532636437,Sold,17/06/2025 21:00:15,[],1,1,,,Portés une fois pour une cérémonie ! Avec boîte et papiers d’origine Excellent état voir semelles sur les photos,Nuovo senza cartellino,8 min fa,3,m.dubourdieu.r,4.8,,95
Chaussures adidas supernova,58.45,adidas,43.5,https://www.vinted.it/items/6532636875-chaussures-adidas-supernova?referrer=catalog,0,6532636875,Sold,17/06/2025 21:00:15,[],1,1,,,En tres bon etat,Nuovo senza cartellino,8 min fa,4,elin1922,4.9,,35
Escarpins Daims couleur taupe Neufs,11.2,Parallèle,37.0,https://www.vinted.it/items/6532636656-escarpins-daims-couleur-taupe-neufs?referrer=catalog,0,6532636656,Sold,17/06/2025 21:00:15,[],1,1,,,"Escarpins neufs jamais portés, tout cuir Taille du talon : 7 cm",Nuovo senza cartellino,8 min fa,5,turkoise60,-1.0,,0
Viral asics gel nyc,100.45,Asics,39.0,https://www.vinted.it/items/6532637268-viral-asics-gel-nyc?referrer=catalog,0,6532637268,Sold,17/06/2025 21:00:15,[],1,1,,,"- Oyster grey - Maat 39 - 1x belopen, veder niet! - Mooie stijlvolle schoenen, lopen als kussentjes en passen bij iedere outfit!",Nuovo senza cartellino,8 min fa,6,noaaalbers,4.9,,52
Dr. Martens 5i Quad Max Black Buttero -bottes neuves cuir plateforme - T. 38,147.7,No brand,36.0,https://www.vinted.it/items/6532586225-dr-martens-5i-quad-max-black-buttero-bottes-neuves-cuir-plateforme-t-38?referrer=catalog,0,6532586225,Sold,17/06/2025 21:10:27,[],4,1,,,"Dr. Martens 5i Quad Max neuves – jamais portées. Cuir Buttero noir de haute qualité, semelle plateforme ultra épaisse pour un look puissant et tendance. 💎Modèle: Quad Max - 5 œillets 🖤Cuir Buttero (souple, brillant, durable) ✔️Unisexe (convient homme & femme) 🥾Semelles et extérieur impeccables 💥Valeur boutique : 259 € – vendues ici bien moins cher ! #DrMartens #DocMartens #DrMartens5i #DrMartensQuadMax #DrMartensBoots #SecondHandStyle #BuySellSwap #SellYourStyle #FashionAlert #Chaussures Femme #Chaussures Homme #DrMartens Femme #ModeAlternative #LookDuJour #ModeDeRue #ModeResponsable #ModeOccasion #ReventeDeMarques #VintedFrance #ModaUnisex #EstiloGrunge #ModaPunk #PlateauStiefel #DrMartens Deutschland #AlternativeMode #VintageMode #NachhaltigeMode #VintedDeutschland #ScarpeDrMartens #ModaSostenibile #Chaussures Noires #Bottes Femme #Bottes Noires #BottesPlateforme #Botas Negras #Botas Plataforma #BotasDrMartens #Moda Alternativa #ModaSostenible #VintedEspaña #VintedLatinoamérica #EstiloUrbano #ModaVintage #Reventa Moda #Stiefel Damen #Schwarze Stiefel #UnisexSchuhe #GothicStil #ModeVerkauf #StilDesTages #StivaliNeri #ScarpePlatform #StileAlternativo #Moda Usata #ScarpeUnisex #ModaDonna #ModaSeconda Mano #VintedItalia #Vendita Privata #StileDelGiorno #Botas DocMartens #ModaSustentável #EstiloAlternativo #Botas DeCouro #EstiloUnissex #BotasFemininas #DrMartensStyle #DocsOutfit #PlatformBoots #ChunkyBoots #BlackBoots #ButteroLeather #RealLeather Boots #LeatherBoots #ThickSoleBoots #5EyeBoots #CombatBoots #UnisexBoots #PunkFashion #GrungeOutfit #StreetwearStyle #AltFashion #GothicStyle #Y2KFashion #PinterestOutfit #StreetwearVibes #OOTD #OutfitInspo #DarkAesthetic #TrendingShoes #BestsellerShoes #VintedFinds #SellOnVinted #ShopMyCloset #ClosetCleanout #ClosetSale #ResellShoes #VintedFashion #Fashion Resale #SustainableFashion #SlowFashion",Nuovo senza cartellino,15 min fa,1,lyazer,4.7,,96
Dr martens blaire slide,100.45,Dr. Martens,40.0,https://www.vinted.it/items/6532215358-dr-martens-blaire-slide?referrer=catalog,0,6532215358,Sold,17/06/2025 21:10:27,[],4,1,,,"En excellent etat, porté 2 fois. Envoi rapide 🌺. Remise en mains propre possible en ile de france 👌🏻.",Nuovo senza cartellino,15 min fa,2,gad95200,5.0,,389
Escarpins,53.1,Ruby Shoo,39.0,https://www.vinted.it/items/6530682579-escarpins?referrer=catalog,0,6530682579,Sold,17/06/2025 21:10:27,[],4,1,,,Escarpins bleu marine à pois blancs avec une fleur rouge devant. Pas de boîte. Marque Ruby Shoo. Pointure indiquée EUR39. Talon 10 cm #pinup #retro #vintage #original #rockabilly #misscandyrose_chaussure #misscandyrose_p39 #misscandyrose_p40,Nuovo senza cartellino,10 min fa,3,Pin Up et Moi,5.0,,537
