ProductId,Autotuned,n,VariantsFound,VariantSilhouette,Notes
133,False,1,1,,skipped_small_product_cluster
134,False,1,1,,skipped_small_product_cluster
135,False,1,1,,skipped_small_product_cluster
136,False,1,1,,skipped_small_product_cluster
137,False,2,1,,skipped_small_product_cluster
138,False,2,1,,skipped_small_product_cluster
139,False,3,1,,skipped_small_product_cluster
140,False,1,1,,skipped_small_product_cluster
141,False,1,1,,skipped_small_product_cluster
142,False,1,1,,skipped_small_product_cluster
143,False,1,1,,skipped_small_product_cluster
144,False,1,1,,skipped_small_product_cluster
145,False,2,1,,skipped_small_product_cluster
146,False,1,1,,skipped_small_product_cluster
147,False,1,1,,skipped_small_product_cluster
148,False,1,1,,skipped_small_product_cluster
149,False,1,1,,skipped_small_product_cluster
150,False,3,1,,skipped_small_product_cluster
151,False,1,1,,skipped_small_product_cluster
152,False,1,1,,skipped_small_product_cluster
153,False,2,1,,skipped_small_product_cluster
154,False,1,1,,skipped_small_product_cluster
155,False,1,1,,skipped_small_product_cluster
156,False,1,1,,skipped_small_product_cluster
157,False,1,1,,skipped_small_product_cluster
158,False,1,1,,skipped_small_product_cluster
159,False,1,1,,skipped_small_product_cluster
161,False,1,1,,skipped_small_product_cluster
162,False,1,1,,skipped_small_product_cluster
163,False,1,1,,skipped_small_product_cluster
164,False,1,1,,skipped_small_product_cluster
165,False,2,1,,skipped_small_product_cluster
166,False,1,1,,skipped_small_product_cluster
167,False,1,1,,skipped_small_product_cluster
168,False,2,1,,skipped_small_product_cluster
169,False,1,1,,skipped_small_product_cluster
170,False,1,1,,skipped_small_product_cluster
171,False,1,1,,skipped_small_product_cluster
172,False,1,1,,skipped_small_product_cluster
173,False,1,1,,skipped_small_product_cluster
174,False,1,1,,skipped_small_product_cluster
175,False,1,1,,skipped_small_product_cluster
176,False,2,1,,skipped_small_product_cluster
177,False,1,1,,skipped_small_product_cluster
178,False,2,1,,skipped_small_product_cluster
179,False,2,1,,skipped_small_product_cluster
180,False,1,1,,skipped_small_product_cluster
181,False,1,1,,skipped_small_product_cluster
182,False,1,1,,skipped_small_product_cluster
183,False,1,1,,skipped_small_product_cluster
184,False,1,1,,skipped_small_product_cluster
185,False,2,1,,skipped_small_product_cluster
186,False,1,1,,skipped_small_product_cluster
187,False,1,1,,skipped_small_product_cluster
188,False,1,1,,skipped_small_product_cluster
189,False,1,1,,skipped_small_product_cluster
190,False,1,1,,skipped_small_product_cluster
191,False,1,1,,skipped_small_product_cluster
192,False,1,1,,skipped_small_product_cluster
194,False,1,1,,skipped_small_product_cluster
195,False,2,1,,skipped_small_product_cluster
196,False,2,1,,skipped_small_product_cluster
197,False,1,1,,skipped_small_product_cluster
