ProductId,VariantId,VariantLocal,VariantCount,VariantTextTop,PriceMedian,PriceMin,PriceMax,Autotuned,VariantThreshold,CoreFrac,PriceWeight
331,373,0,1,,53.2,53.2,53.2,False,,,
334,376,0,1,,53.2,53.2,53.2,False,,,
339,381,0,1,,53.2,53.2,53.2,False,,,
343,385,0,1,,53.2,53.2,53.2,False,,,
345,387,0,1,,53.2,53.2,53.2,False,,,
346,388,0,1,,53.2,53.2,53.2,False,,,
349,392,1,1,biohazard neu ovp versiegelt pegi version,53.2,53.2,53.2,True,0.33,0.7,0.35
349,393,2,1,blister sous boitier fors neuf,53.2,53.2,53.2,True,0.33,0.7,0.35
359,406,0,1,,53.2,53.2,53.2,False,,,
367,414,0,1,,53.2,53.2,53.2,False,,,
376,423,0,1,,53.2,53.2,53.2,False,,,
388,435,0,1,,53.2,53.2,53.2,False,,,
389,436,0,1,,53.2,53.2,53.2,False,,,
392,439,0,1,,53.2,53.2,53.2,False,,,
398,445,0,1,,53.2,53.2,53.2,False,,,
414,464,0,1,,53.2,53.2,53.2,False,,,
419,469,0,1,,53.2,53.2,53.2,False,,,
421,471,0,1,,53.2,53.2,53.2,False,,,
434,484,0,1,,53.2,53.2,53.2,False,,,
474,524,0,1,,53.2,53.2,53.2,False,,,
492,543,0,1,,53.2,53.2,53.2,False,,,
514,567,0,1,,53.2,53.2,53.2,False,,,
547,605,0,1,,53.2,53.2,53.2,False,,,
551,609,0,1,,53.2,53.2,53.2,False,,,
567,625,0,1,,53.2,53.2,53.2,False,,,
571,629,0,1,,53.2,53.2,53.2,False,,,
574,632,0,1,,53.2,53.2,53.2,False,,,
579,637,0,1,,53.2,53.2,53.2,False,,,
591,649,0,1,,53.2,53.2,53.2,False,,,
593,651,0,1,,53.2,53.2,53.2,False,,,
637,695,0,1,,53.2,53.2,53.2,False,,,
650,710,0,1,,53.2,53.2,53.2,False,,,
678,748,2,1,ps4 ps5,53.2,53.2,53.2,True,0.33,0.7,0.35
686,757,0,1,,53.2,53.2,53.2,False,,,
687,758,0,1,,53.2,53.2,53.2,False,,,
693,764,0,1,,53.2,53.2,53.2,False,,,
701,772,0,1,,53.2,53.2,53.2,False,,,
415,465,0,1,,55.3,55.3,55.3,False,,,
696,767,0,1,,55.3,55.3,55.3,False,,,
365,412,0,1,,56.35,56.35,56.35,False,,,
33,35,0,1,,58.45,58.45,58.45,False,,,
43,45,0,1,,58.45,58.45,58.45,False,,,
49,56,3,1,volant,58.45,58.45,58.45,True,0.31,0.78,0.45
85,99,0,1,,58.45,58.45,58.45,False,,,
100,118,0,1,,58.45,58.45,58.45,False,,,
118,138,0,1,,58.45,58.45,58.45,False,,,
184,208,0,1,,58.45,58.45,58.45,False,,,
186,210,0,1,,58.45,58.45,58.45,False,,,
230,258,0,1,,58.45,58.45,58.45,False,,,
440,490,0,1,,58.45,58.45,58.45,False,,,
476,526,0,1,,58.45,58.45,58.45,False,,,
589,647,0,1,,58.45,58.45,58.45,False,,,
668,733,0,1,,58.45,58.45,58.45,False,,,
267,305,3,1,playstation,59.49,59.49,59.49,True,0.35,0.7,0.35
183,207,0,1,,61.6,61.6,61.6,False,,,
700,771,0,1,,62.13,62.13,62.13,False,,,
