Title,Price,Brand,Size,Link,Likes,Dataid,MarketStatus,SearchDate,Upload_date,Images,SearchCount,Page,Title_norm,Brand_norm,NegFlags,HasNegFlag,BlockKey,EmbedText,ProductId,ClusterSize,CanonicalName
Videogiochi Ps4 videogames Playstation 4,74.2,No brand,0,https://www.vinted.it/items/8112157019-videogiochi-ps4-videogames-playstation-4?referrer=catalog,1,8112157019,On Sale,,,https://images1.vinted.net/t/01_00b3b_c8L4Ev6M2ydG64JXUJHidEZp/310x430/1770383224.webp?s=3dbe0d6e7093859e86b6616f982c2547e1c1fc8a,1,4,videogiochi ps4 videogames playstation 4,no brand,,False,no brand__toks__videogiochi-ps4,videogiochi ps4 videogames playstation 4 | no brand | 0,429,1,videogiochi ps4 videogames playstation
Volante Ferrari T80 + Pedali – Compatibile PS5 / PS4 / PC – Ottime condizioni,74.2,Thrustmaster,0,https://www.vinted.it/items/8112078961-volante-ferrari-t80-pedali-compatibile-ps5-ps4-pc-ottime-condizioni?referrer=catalog,1,8112078961,On Sale,,,https://images1.vinted.net/t/06_01f5b_jLaMQgPESQBepxJizQ5kBncA/310x430/1770382677.webp?s=13e65e11e9c87246d62bfeafb19c851738749c3a,1,4,volante ferrari t80 pedali compatibile ps5 ps4 pc ottime condizioni,thrustmaster,,False,thrustmaster__codes__t80,volante ferrari t80 pedali compatibile ps5 ps4 pc ottime condizioni | thrustmaster | 0,684,1,volante ferrari t80 pedali compatibile ps5 ps4 pc
Ps4 dead island 2 box,63.7,No brand,0,https://www.vinted.it/items/8112064091-ps4-dead-island-2-box?referrer=catalog,0,8112064091,On Sale,,,https://images1.vinted.net/t/04_01e80_3FeMwejaGuMnmvkfU9YYoVB2/310x430/1770382569.webp?s=2fa5bacd4516c07ce6e553c547bd0995f065494e,1,4,ps4 dead island 2 box,no brand,,False,no brand__toks__ps4-dead,ps4 dead island 2 box | no brand | 0,331,1,ps4 dead island box
Coffret Dark soûls trilogy PS4,42.7,No brand,0,https://www.vinted.it/items/8112049644-coffret-dark-souls-trilogy-ps4?referrer=catalog,2,8112049644,On Sale,,,https://images1.vinted.net/t/01_0257b_ZbfTir9i5bUbVUd2yCBT76fu/310x430/1770382463.webp?s=51fe649c78beeb3d1d8067b209d16decdda2aff5,1,4,coffret dark souls trilogy ps4,no brand,,False,no brand__toks__coffret-dark,coffret dark souls trilogy ps4 | no brand | 0,147,1,coffret dark souls trilogy ps4
Ps4 dark pictures,84.7,No brand,0,https://www.vinted.it/items/8112048929-ps4-dark-pictures?referrer=catalog,4,8112048929,On Sale,,,https://images1.vinted.net/t/01_02579_CfxbytaGshWZ6Fn7r6x5DC6s/310x430/1770382458.webp?s=edc67114fe3ceccc211f35d1d0552717335d2516,1,4,ps4 dark pictures,no brand,,False,no brand__toks__ps4-dark,ps4 dark pictures | no brand | 0,330,2,ps4 dark pictures triple pack
Slitterhead One Edition ps5 precintado,74.2,No brand,0,https://www.vinted.it/items/8112029256-slitterhead-one-edition-ps5-precintado?referrer=catalog,19,8112029256,On Sale,,,https://images1.vinted.net/t/06_01890_jiCC7NmzVu9mHM6QqqapNMdE/310x430/1770382316.webp?s=5a3774e2af510e2ae368a4ce7f6934d8941f309e,1,4,slitterhead one edition ps5 precintado,no brand,,False,no brand__toks__slitterhead-one,slitterhead one edition ps5 precintado | no brand | 0,375,1,slitterhead one edition ps5 precintado
Ps4 dark pictures triple pack,84.7,No brand,0,https://www.vinted.it/items/8112001784-ps4-dark-pictures-triple-pack?referrer=catalog,3,8112001784,On Sale,,,https://images1.vinted.net/t/06_0260e_Z1RXUeVMtQFWvrXj16QifAhg/310x430/1770382116.webp?s=97149287ad6bd275b4675138d598ef7c8c9a6549,1,4,ps4 dark pictures triple pack,no brand,,False,no brand__toks__ps4-dark,ps4 dark pictures triple pack | no brand | 0,330,2,ps4 dark pictures triple pack
Logitech G29 PS4 PS5 PC + Soporte + Pedales + Palanca | Simracing,315.7,Logitech G,0,https://www.vinted.it/items/8111998231-logitech-g29-ps4-ps5-pc-soporte-pedales-palanca-simracing?referrer=catalog,0,8111998231,On Sale,,,https://images1.vinted.net/t/05_0174f_vHAFFvFcYZFzB9sFUNeCLiva/310x430/1770382089.webp?s=53efe71e7e6898b2396d45bdd670efdcb71e4b6b,1,4,logitech g29 ps4 ps5 pc soporte pedales palanca simracing,logitech g,,False,logitech g__codes__g29,logitech g29 ps4 ps5 pc soporte pedales palanca simracing | logitech g | 0,47,1,logitech g29 ps4 ps5 pc soporte pedales palanca
Disco Elysium PS4 🇪🇸 Precintado,100.45,No brand,0,https://www.vinted.it/items/8111892757-disco-elysium-ps4-precintado?referrer=catalog,1,8111892757,On Sale,,,https://images1.vinted.net/t/06_01c39_iHKEG8efZAuc9vbmJUxGoUxk/310x430/1770381306.webp?s=c9fd87a41f6e2a33806f6a9af1dfeecac306325b,1,4,disco elysium ps4 precintado,no brand,,False,no brand__toks__disco-elysium,disco elysium ps4 precintado | no brand | 0,173,1,disco elysium ps4 precintado
Manette sans fil Victrix Pro BFG PS5/PC Neuve,137.1,Turtle Beach,0,https://www.vinted.it/items/8111809076-manette-sans-fil-victrix-pro-bfg-ps5pc-neuve?referrer=catalog,1,8111809076,On Sale,,,https://images1.vinted.net/t/06_02144_AJJVdpkj7i3ntySRkoHF6HNr/310x430/1770380673.webp?s=3983c3f0b6d073d16d90fc1d35b1bf0b3ba6b8b9,1,4,manette sans fil victrix pro bfg ps5 pc neuve,turtle beach,,False,turtle beach__toks__manette-sans,manette sans fil victrix pro bfg ps5 pc neuve | turtle beach | 0,700,1,manette sans fil victrix pro bfg ps5 pc
