ProductId,VariantId,VariantLocal,VariantCount,VariantTextTop,PriceMedian,PriceMin,PriceMax,VariantThreshold,CoreFrac,PriceWeight
624,683,0,2,,158.1,158.1,158.1,0.33,0.7,0.5
484,536,0,2,avec une manette des jeux,158.2,158.2,158.2,0.33,0.7,0.5
484,537,1,2,car ne en sers plus reinitialiser lors de,158.2,158.2,158.2,0.33,0.7,0.5
498,551,0,2,,158.2,158.2,158.2,0.33,0.7,0.5
646,707,0,2,,158.2,158.2,158.2,0.33,0.7,0.5
49,58,3,2,ps4 steering wheel volante,163.45,158.2,168.7,0.33,0.7,0.5
659,722,0,2,,163.45,158.2,168.7,0.33,0.7,0.5
386,436,0,2,,171.325,131.95,210.7,0.33,0.7,0.5
49,55,0,2,playstation volant volante pedales pc,180.25,170.8,189.7,0.33,0.7,0.5
145,170,0,2,,197.04999999999998,52.15,341.95,0.33,0.7,0.5
499,553,1,2,,200.2,189.7,210.7,0.33,0.7,0.5
351,399,0,2,origins collection capcom,210.65,210.65,210.65,0.33,0.7,0.5
48,50,0,2,volante para ps3,210.7,210.7,210.7,0.33,0.7,0.5
49,59,4,2,volant de vitesse levier boite,226.45,179.2,273.7,0.33,0.7,0.5
656,717,0,2,,252.7,189.7,315.7,0.33,0.7,0.5
494,547,0,2,,299.95,299.95,299.95,0.33,0.7,0.5
633,692,0,2,,315.17499999999995,158.2,472.15,0.33,0.7,0.5
677,745,0,2,,526.85,441.7,612.0,0.33,0.7,0.5
0,0,0,1,,42.7,42.7,42.7,0.33,0.7,0.5
1,1,0,1,,42.7,42.7,42.7,0.33,0.7,0.5
6,6,0,1,,42.7,42.7,42.7,0.33,0.7,0.5
36,38,0,1,,42.7,42.7,42.7,0.33,0.7,0.5
42,44,0,1,,42.7,42.7,42.7,0.33,0.7,0.5
63,78,0,1,,42.7,42.7,42.7,0.33,0.7,0.5
75,90,0,1,,42.7,42.7,42.7,0.33,0.7,0.5
103,126,0,1,,42.7,42.7,42.7,0.33,0.7,0.5
119,142,0,1,,42.7,42.7,42.7,0.33,0.7,0.5
129,154,0,1,,42.7,42.7,42.7,0.33,0.7,0.5
133,158,0,1,,42.7,42.7,42.7,0.33,0.7,0.5
146,171,0,1,,42.7,42.7,42.7,0.33,0.7,0.5
154,179,0,1,,42.7,42.7,42.7,0.33,0.7,0.5
162,189,0,1,,42.7,42.7,42.7,0.33,0.7,0.5
173,200,0,1,,42.7,42.7,42.7,0.33,0.7,0.5
191,218,0,1,,42.7,42.7,42.7,0.33,0.7,0.5
193,223,3,1,ix ps1 version americana ntsc precintado,42.7,42.7,42.7,0.33,0.7,0.5
202,233,1,1,,42.7,42.7,42.7,0.33,0.7,0.5
206,237,0,1,,42.7,42.7,42.7,0.33,0.7,0.5
209,240,0,1,,42.7,42.7,42.7,0.33,0.7,0.5
212,243,0,1,,42.7,42.7,42.7,0.33,0.7,0.5
235,271,0,1,,42.7,42.7,42.7,0.33,0.7,0.5
236,272,0,1,,42.7,42.7,42.7,0.33,0.7,0.5
239,275,0,1,,42.7,42.7,42.7,0.33,0.7,0.5
240,276,0,1,,42.7,42.7,42.7,0.33,0.7,0.5
244,280,0,1,,42.7,42.7,42.7,0.33,0.7,0.5
248,284,0,1,,42.7,42.7,42.7,0.33,0.7,0.5
254,290,0,1,,42.7,42.7,42.7,0.33,0.7,0.5
263,301,2,1,ps4,42.7,42.7,42.7,0.33,0.7,0.5
264,302,0,1,,42.7,42.7,42.7,0.33,0.7,0.5
265,303,0,1,,42.7,42.7,42.7,0.33,0.7,0.5
266,304,0,1,,42.7,42.7,42.7,0.33,0.7,0.5
274,317,0,1,,42.7,42.7,42.7,0.33,0.7,0.5
280,323,0,1,,42.7,42.7,42.7,0.33,0.7,0.5
307,352,0,1,,42.7,42.7,42.7,0.33,0.7,0.5
315,360,0,1,,42.7,42.7,42.7,0.33,0.7,0.5
318,363,0,1,,42.7,42.7,42.7,0.33,0.7,0.5
320,365,0,1,,42.7,42.7,42.7,0.33,0.7,0.5
321,366,0,1,,42.7,42.7,42.7,0.33,0.7,0.5
328,373,0,1,,42.7,42.7,42.7,0.33,0.7,0.5
335,380,0,1,,42.7,42.7,42.7,0.33,0.7,0.5
338,383,0,1,,42.7,42.7,42.7,0.33,0.7,0.5
340,385,0,1,,42.7,42.7,42.7,0.33,0.7,0.5
349,394,0,1,,42.7,42.7,42.7,0.33,0.7,0.5
349,397,3,1,nuovo italiano,42.7,42.7,42.7,0.33,0.7,0.5
351,400,1,1,gold nuevo precintado,42.7,42.7,42.7,0.33,0.7,0.5
353,403,0,1,,42.7,42.7,42.7,0.33,0.7,0.5
354,404,0,1,,42.7,42.7,42.7,0.33,0.7,0.5
358,408,0,1,,42.7,42.7,42.7,0.33,0.7,0.5
370,420,0,1,,42.7,42.7,42.7,0.33,0.7,0.5
372,422,0,1,,42.7,42.7,42.7,0.33,0.7,0.5
383,433,0,1,,42.7,42.7,42.7,0.33,0.7,0.5
385,435,0,1,,42.7,42.7,42.7,0.33,0.7,0.5
390,440,0,1,,42.7,42.7,42.7,0.33,0.7,0.5
396,446,0,1,,42.7,42.7,42.7,0.33,0.7,0.5
406,458,0,1,,42.7,42.7,42.7,0.33,0.7,0.5
420,472,0,1,,42.7,42.7,42.7,0.33,0.7,0.5
426,478,0,1,,42.7,42.7,42.7,0.33,0.7,0.5
427,479,0,1,,42.7,42.7,42.7,0.33,0.7,0.5
436,488,0,1,,42.7,42.7,42.7,0.33,0.7,0.5
441,493,0,1,,42.7,42.7,42.7,0.33,0.7,0.5
442,494,0,1,,42.7,42.7,42.7,0.33,0.7,0.5
454,506,0,1,,42.7,42.7,42.7,0.33,0.7,0.5
457,509,0,1,,42.7,42.7,42.7,0.33,0.7,0.5
481,533,0,1,,42.7,42.7,42.7,0.33,0.7,0.5
489,542,0,1,,42.7,42.7,42.7,0.33,0.7,0.5
490,543,0,1,,42.7,42.7,42.7,0.33,0.7,0.5
522,581,0,1,,42.7,42.7,42.7,0.33,0.7,0.5
525,584,0,1,,42.7,42.7,42.7,0.33,0.7,0.5
532,591,0,1,,42.7,42.7,42.7,0.33,0.7,0.5
553,612,0,1,,42.7,42.7,42.7,0.33,0.7,0.5
565,624,0,1,,42.7,42.7,42.7,0.33,0.7,0.5
577,636,0,1,,42.7,42.7,42.7,0.33,0.7,0.5
580,639,0,1,,42.7,42.7,42.7,0.33,0.7,0.5
614,673,0,1,,42.7,42.7,42.7,0.33,0.7,0.5
667,733,0,1,,42.7,42.7,42.7,0.33,0.7,0.5
135,160,0,1,,44.8,44.8,44.8,0.33,0.7,0.5
344,389,0,1,,44.8,44.8,44.8,0.33,0.7,0.5
560,619,0,1,,44.8,44.8,44.8,0.33,0.7,0.5
621,680,0,1,,44.8,44.8,44.8,0.33,0.7,0.5
262,298,0,1,,45.85,45.85,45.85,0.33,0.7,0.5
699,770,0,1,,45.85,45.85,45.85,0.33,0.7,0.5
397,447,0,1,,46.9,46.9,46.9,0.33,0.7,0.5
160,187,2,1,ita sigillato,47.85,47.85,47.85,0.33,0.7,0.5
82,97,0,1,,47.94,47.94,47.94,0.33,0.7,0.5
144,169,0,1,,47.94,47.94,47.94,0.33,0.7,0.5
267,306,1,1,neuf et ps5,47.94,47.94,47.94,0.33,0.7,0.5
361,411,0,1,,47.94,47.94,47.94,0.33,0.7,0.5
4,4,0,1,,47.95,47.95,47.95,0.33,0.7,0.5
13,13,0,1,,47.95,47.95,47.95,0.33,0.7,0.5
22,22,0,1,,47.95,47.95,47.95,0.33,0.7,0.5
38,40,0,1,,47.95,47.95,47.95,0.33,0.7,0.5
62,77,0,1,,47.95,47.95,47.95,0.33,0.7,0.5
65,80,0,1,,47.95,47.95,47.95,0.33,0.7,0.5
108,131,0,1,,47.95,47.95,47.95,0.33,0.7,0.5
116,139,0,1,,47.95,47.95,47.95,0.33,0.7,0.5
117,140,0,1,,47.95,47.95,47.95,0.33,0.7,0.5
149,174,0,1,,47.95,47.95,47.95,0.33,0.7,0.5
156,181,0,1,,47.95,47.95,47.95,0.33,0.7,0.5
199,229,0,1,,47.95,47.95,47.95,0.33,0.7,0.5
207,238,0,1,,47.95,47.95,47.95,0.33,0.7,0.5
225,256,0,1,,47.95,47.95,47.95,0.33,0.7,0.5
226,257,0,1,,47.95,47.95,47.95,0.33,0.7,0.5
228,259,0,1,,47.95,47.95,47.95,0.33,0.7,0.5
234,270,0,1,,47.95,47.95,47.95,0.33,0.7,0.5
282,325,0,1,,47.95,47.95,47.95,0.33,0.7,0.5
317,362,0,1,,47.95,47.95,47.95,0.33,0.7,0.5
382,432,0,1,,47.95,47.95,47.95,0.33,0.7,0.5
404,456,0,1,,47.95,47.95,47.95,0.33,0.7,0.5
409,461,0,1,,47.95,47.95,47.95,0.33,0.7,0.5
448,500,0,1,,47.95,47.95,47.95,0.33,0.7,0.5
482,534,0,1,,47.95,47.95,47.95,0.33,0.7,0.5
487,540,0,1,,47.95,47.95,47.95,0.33,0.7,0.5
497,550,0,1,,47.95,47.95,47.95,0.33,0.7,0.5
541,600,0,1,,47.95,47.95,47.95,0.33,0.7,0.5
581,640,0,1,,47.95,47.95,47.95,0.33,0.7,0.5
587,646,0,1,,47.95,47.95,47.95,0.33,0.7,0.5
602,661,0,1,,47.95,47.95,47.95,0.33,0.7,0.5
678,746,0,1,,47.95,47.95,47.95,0.33,0.7,0.5
682,753,0,1,,47.95,47.95,47.95,0.33,0.7,0.5
688,759,0,1,,47.95,47.95,47.95,0.33,0.7,0.5
694,765,0,1,,47.95,47.95,47.95,0.33,0.7,0.5
